source,id,lender_TopName
1.0,f228,FREEDOM MORTGAGE CORP
1.0,f229,FRISTRUST
1.0,f23,ALLIANCE REAL ESTATE FINANCIAL SERVICES
1.0,f230,FROST BANK
1.0,f231,FUEL LENDING
3.0,f232,GATEWAY BANK
1.0,f233,GATEWAY SERVICES GROUP LLC
1.0,f234,GENWORTH FINANCIAL INC
1.0,f235,GILLES
1.0,f236,GINNIE MAE
1.0,f237,GLOBAL ATLANTIC
1.0,f238,GLOBAL MERCHANT TRUST INC
1.0,f2381310,BLACKROCK FINANICAL MANAGEMENT LP
1.0,f239,GMH ASSOCIATES INC
1.0,f24,ALPHA ONE INVESTORS
1.0,f240,GNGB
1.0,f2400770,FREDDIE MAC (FEDERAL HOME LOAN MORTGAGE CORPORATION)
1.0,f241,GNTY
1.0,f242,GRAND BANK
3.0,f243,GRANT POINTE
1.0,f244,GREAT LAKES BANK & TRUST
1.0,f245,GREEN MORTGAGE INVESTMENT
3.0,f246,GREENWICH CAPITAL MARKETS
1.0,f247,GS LENDING PARTNERS
1.0,f248,GSAP SERVICER ADVANCES (BARCLAYS AS AGENT) VFN
1.0,f249,GSTAR BANK
3.0,f25,ALTAVERA LLC
1.0,f250,GTE FCU
1.0,f251,GUARANTEE TRUST
1.0,f252,GUARANTEED TRUST
1.0,f253,GUGGENHEIM
1.0,f254,HARBOR FINANCIAL
1.0,f255,HARBOUR PORTFOLIO ADVISORS LLC
3.0,f256,HATTERAS FINANCIAL CORP
3.0,f257,HEADWAY CAPITAL
1.0,f258,HEARTLAND BANK
3.0,f259,HERITAGE BANK
1.0,f26,AMERICAN ARMED FORCES MUTUAL AID ASSOCIATION
1.0,f260,HESA AND REDFIELD (MEZZANINE)
3.0,f261,HO KIM
1.0,f262,HOLDING CO OF THE VILLAGES
1.0,f263,HOME DEPOT
3.0,f264,HOMESTAR
1.0,f265,HOMETOWN BANK
1.0,f266,HOMEWARD RESIDENTIAL CAPITAL
1.0,f267,HOMEWOOD
3.0,f268,HORBOWY
3.0,f269,HORIZON BANK
1.0,f27,AMERICAN EQUITY BANK
1.0,f270,HOVNANIAN ENTERPRISES
1.0,f271,HUBBARD LENDING
1.0,f272,HYDE PARK BANK
1.0,f273,ICON RESIDENTIAL MORTGAGE
3.0,f274,IMPAC FUNDING CORP
1.0,f275,INCOME FUND
1.0,f275255,BANNER CAPITAL BANK
1.0,f276,INDY MAC
1.0,f277,ING LOANS
1.0,f278,INTERCOUNTY FINANCIAL SERVICES
1.0,f28,AMERICAN FINANCIAL RESOURCES INC
1.0,f280,JADE CORAL TRUST
1.0,f281,JANET GARAY
1.0,f282,JASON HABALI
3.0,f283,JEFFERSON BANK
1.0,f283737,FIRST NATIONAL BANK OF TENNESSEE
1.0,f284,JENKINS & COMPANY
3.0,f285,JOHN W JACOBI
3.0,f286,JS LB LLC
1.0,f287,JUAN CRUZ
1.0,f288,JVB FINANCIAL GROUP
1.0,f289,JVC
1.0,f29,AMERICAN HOME MORTGAGE SERVICING INC
1.0,f290,K HOVNANIAN COMPANIES
1.0,f291,K120A
1.0,f292,K120B
1.0,f293,K120C
3.0,f294,KABBAGE
1.0,f295,KAWA
1.0,f296,KEMBA ROANOKE
1.0,f297,KILPATRICK LIFE INSURANCE CO
1.0,f298,KKR
1.0,f299,KNIGHT CAPITAL GROUP
2.0,f3,20 GATES MANAGEMENT LLC
1.0,f30,AMERICAN HOMEOWNER PRESERVATION
1.0,f300,KNIGHT MORTGAGE CAPITAL
1.0,f301,LANCEWOOD CAPITAL
1.0,f302,LANDMARK COMMUNITY BANK
3.0,f303,LANDMARK KEY
1.0,f304,LC PORT B INVESTMENTS LTD
3.0,f305,LC REO
1.0,f306,LDC MASTER TRUST
3.0,f307,LDS
3.0,f308,LEADBANK
1.0,f309,LEADENHALL
1.0,f31,AMERICAN LENDER
1.0,f310,LEDYARD
1.0,f311,LENDERS FUNDING
3.0,f312,LENDERVEND
1.0,f313,LENDING GROUP LLC
1.0,f314,LEON COUNTY
1.0,f315,LEXUS FINANCIAL
1.0,f316,LH
1.0,f317,LIBERTY BANK
1.0,f318,LINCOLNWAY STATE BANK
1.0,f319,LL PRIVATE LENDING FUND LP
1.0,f32,AMERICAN NATIONAL BANK
1.0,f320,LORENA KELLY
1.0,f321,LS TRUSTEE & CHARLES BENSON TRUSTEE
1.0,f322,LUCID
1.0,f323,LUMINATE BANK
1.0,f324,M&M BANK
1.0,f325,MACQUARIE INVESTMENTS US INC
1.0,f326,MAGNETAR STRUCTURED CREDIT FUND
1.0,f327,MAGNOLIA STATE BANK
