Variable,Description,Source
Term Loan A,Dummy variable equal to 1 if the loan is a Term Loan A (syndicated to commercial banks),Dealscan
Term Loan B-D,Dummy variable equal to 1 if the loan is a Term Loan B-D (syndicated to institutional investors),Dealscan
Lead Bank Market Share,Percentage of loans led by the arranger over the year in the syndicated loan market,Dealscan
Relationship within Syndicate,Dummy variable equal to 1 if the lead arranger had a prior relationship with at least one syndicate member,Dealscan
Bank Assets,Bank assets in billions,Compustat/Call Reports
Capital Tier 1,Ratio of Tier 1 capital to assets,Compustat/Call Reports
Nonbank,Indicator variable equal to one for nonbank lenders and zero for bank lenders,Thomson Reuters LPC DealScan
Past Nonbank Share,Industry-level ratio of nonbank syndicated borrowing to total syndicated borrowing over 1990-1996,Thomson Reuters LPC DealScan
Past Nonbank Relation,Indicator variable equal to one for borrowers who have previously borrowed from a nonbank (excluding loans in the previous two years),Thomson Reuters LPC DealScan
All Loans,Log of total credit extended to a borrower in a quarter,Thomson Reuters LPC DealScan
Term Loans,Log of total term loan amount extended by a lender to a borrower in a quarter,Thomson Reuters LPC DealScan
Credit Lines,Log of total credit line amount extended by a lender to a borrower in a quarter,Thomson Reuters LPC DealScan
Spread,Log of all-in Spread,Thomson Reuters LPC DealScan
New Loan,Indicator variable equal to one if the firm takes out a new loan in the quarter,Thomson Reuters LPC DealScan
Total Borrowing,Log of total credit extended to a borrower in a quarter (sum across lenders),Thomson Reuters LPC DealScan
Total Debt,Log of total debt (dlcq + dlttq),S&P Compustat
Leverage,Book leverage ((dlcq + dlttq ) / atq),S&P Compustat
Liquidity,Ratio of cash and short-term investments to total assets (cheq / atq),S&P Compustat
Fixed Assets,"Ratio of property, plant and equipment to total assets (ppentq / atq)",S&P Compustat
Real Gross Output,Log of real industry-level gross output,Bureau of Economic Analysis
Real Value Added,Log of real industry-level value added,Bureau of Economic Analysis
High Yield,Indicator variable equal to one if the borrower has a high-yield credit rating,S&P Compustat
