source,lender_TopRSSDID,lender_TopName,normalized_name,RSSD,CU_NAME,normalized_name_x,fuzzy_matched_name_cu,normalized_name_y
1.0,329587,BALTIMORE COUNTY EMPLOYEES CU,,329587,BALTIMORE COUNTY EMPLOYEES,baltimore county employees cu,baltimore county employees,baltimore county employees
1.0,335980,COMMUNITY FOCUS FEDERAL CREDIT UNION,,248295,COMMUNITY CREDIT UNION OF FLORIDA,community focus federal credit union,community credit union of florida,community credit union of florida
1.0,367392,ALLIANT CREDIT UNION,,334590,CREDIT UNION OF ATLANTA,alliant credit union,credit union of atlanta,credit union of atlanta
3.0,416197,VERIDIAN CREDIT UNION,,169279,VIA CREDIT UNION,veridian credit union,via credit union,via credit union
1.0,f564,VARIOUS CREDIT UNIONS,,169279,VIA CREDIT UNION,various credit unions,via credit union,via credit union
1.0,5292,LINCOLN PARK COMMUNITY CU,,5292,LINCOLN PARK COMMUNITY,lincoln park community cu,lincoln park community,lincoln park community
1.0,678098,DUPONT COMMUNITY CREDIT UNION,,239574,TVA COMMUNITY CREDIT UNION,dupont community credit union,tva community credit union,tva community credit union
1.0,742793,COMMUNITY DRIVEN CREDIT UNION,,239574,TVA COMMUNITY CREDIT UNION,community driven credit union,tva community credit union,tva community credit union
3.0,f399898,MIDWEST COMMUNITY CREDIT UNION,,239574,TVA COMMUNITY CREDIT UNION,midwest community credit union,tva community credit union,tva community credit union
1.0,f413,PARK COMMUNITY CREDIT UNION,,239574,TVA COMMUNITY CREDIT UNION,park community credit union,tva community credit union,tva community credit union
3.0,706290,SALAL CREDIT UNION,,406385,LAUNCH CREDIT UNION,salal credit union,launch credit union,launch credit union
1.0,794091,LAKE TRUST CREDIT UNION,,117391,LEADERS CREDIT UNION,lake trust credit union,leaders credit union,leaders credit union
1.0,f523,TEAMSTERS CREDIT UNION,,117391,LEADERS CREDIT UNION,teamsters credit union,leaders credit union,leaders credit union
1.0,986177,ADVIA CREDIT UNION,,651998,CREDIT UNION ADVANTAGE,advia credit union,credit union advantage,credit union advantage
1.0,f143,CREDIT UNION,,418780,CREDIT UNION 1,credit union,credit union 1,credit union 1
1.0,f433390,EASTPOINTE COMMUNITY CREDIT UNION,,352491,COMMUNITY SPIRIT CREDIT UNION,eastpointe community credit union,community spirit credit union,community spirit credit union
1.0,f737397,SCHOOL EMPLOYEES CREDIT UNION,,1225912,MACON-BIBB EMPLOYEES CREDIT UNION,school employees credit union,maconbibb employees credit union,maconbibb employees credit union
1.0,f85799,ONE DETROIT CREDIT UNION,,222491,DESTINATIONS CREDIT UNION,one detroit credit union,destinations credit union,destinations credit union
