Year,File Type,File Name,Column Name
,TS,hmda_2017_transmittal_sheet.csv,Activity Year
,TS,hmda_2017_transmittal_sheet.csv,Respondent ID
,TS,hmda_2017_transmittal_sheet.csv,Agency Code
,TS,hmda_2017_transmittal_sheet.csv,Federal Tax ID
,TS,hmda_2017_transmittal_sheet.csv,Respondent Name
,TS,hmda_2017_transmittal_sheet.csv,Respondent Mailing Address
,TS,hmda_2017_transmittal_sheet.csv,Respondent City
,TS,hmda_2017_transmittal_sheet.csv,Respondent State
,TS,hmda_2017_transmittal_sheet.csv,Respondent ZIP Code
,TS,hmda_2017_transmittal_sheet.csv,Parent Name
,TS,hmda_2017_transmittal_sheet.csv,Parent Address
,TS,hmda_2017_transmittal_sheet.csv,Parent City
,TS,hmda_2017_transmittal_sheet.csv,Parent State
,TS,hmda_2017_transmittal_sheet.csv,Parent ZIP Code
,TS,hmda_2017_transmittal_sheet.csv,LAR Count
,Panel,2020_public_panel_one_year_csv.csv,activity_year
,Panel,2020_public_panel_one_year_csv.csv,lei
,Panel,2020_public_panel_one_year_csv.csv,tax_id
,Panel,2020_public_panel_one_year_csv.csv,agency_code
,Panel,2020_public_panel_one_year_csv.csv,id_2017
,Panel,2020_public_panel_one_year_csv.csv,respondent_rssd
,Panel,2020_public_panel_one_year_csv.csv,respondent_name
,Panel,2020_public_panel_one_year_csv.csv,respondent_state
,Panel,2020_public_panel_one_year_csv.csv,respondent_city
,Panel,2020_public_panel_one_year_csv.csv,assets
,Panel,2020_public_panel_one_year_csv.csv,other_lender_code
,Panel,2020_public_panel_one_year_csv.csv,parent_rssd
,Panel,2020_public_panel_one_year_csv.csv,parent_name
,Panel,2020_public_panel_one_year_csv.csv,topholder_rssd
,Panel,2020_public_panel_one_year_csv.csv,topholder_name
,LAR,2022_public_lar_one_year_csv.csv,activity_year
,LAR,2022_public_lar_one_year_csv.csv,lei
,LAR,2022_public_lar_one_year_csv.csv,derived_msa_md
,LAR,2022_public_lar_one_year_csv.csv,state_code
,LAR,2022_public_lar_one_year_csv.csv,county_code
,LAR,2022_public_lar_one_year_csv.csv,census_tract
,LAR,2022_public_lar_one_year_csv.csv,conforming_loan_limit
,LAR,2022_public_lar_one_year_csv.csv,derived_loan_product_type
,LAR,2022_public_lar_one_year_csv.csv,derived_dwelling_category
,LAR,2022_public_lar_one_year_csv.csv,derived_ethnicity
,LAR,2022_public_lar_one_year_csv.csv,derived_race
,LAR,2022_public_lar_one_year_csv.csv,derived_sex
,LAR,2022_public_lar_one_year_csv.csv,action_taken
,LAR,2022_public_lar_one_year_csv.csv,purchaser_type
,LAR,2022_public_lar_one_year_csv.csv,preapproval
,LAR,2022_public_lar_one_year_csv.csv,loan_type
,LAR,2022_public_lar_one_year_csv.csv,loan_purpose
,LAR,2022_public_lar_one_year_csv.csv,lien_status
,LAR,2022_public_lar_one_year_csv.csv,reverse_mortgage
,LAR,2022_public_lar_one_year_csv.csv,open_end_line_of_credit
,LAR,2022_public_lar_one_year_csv.csv,business_or_commercial_purpose
,LAR,2022_public_lar_one_year_csv.csv,loan_amount
,LAR,2022_public_lar_one_year_csv.csv,combined_loan_to_value_ratio
,LAR,2022_public_lar_one_year_csv.csv,interest_rate
,LAR,2022_public_lar_one_year_csv.csv,rate_spread
,LAR,2022_public_lar_one_year_csv.csv,hoepa_status
,LAR,2022_public_lar_one_year_csv.csv,total_loan_costs
,LAR,2022_public_lar_one_year_csv.csv,total_points_and_fees
,LAR,2022_public_lar_one_year_csv.csv,origination_charges
,LAR,2022_public_lar_one_year_csv.csv,discount_points
,LAR,2022_public_lar_one_year_csv.csv,lender_credits
,LAR,2022_public_lar_one_year_csv.csv,loan_term
,LAR,2022_public_lar_one_year_csv.csv,prepayment_penalty_term
