activity year_x,respondent id,agency code_x,parent respondent id,parent name (panel),parent city (panel),parent state (panel),region,assets_x,other lender code_x,respondent name (panel)_x,respondent city (panel)_x,respondent state (panel)_x,top holder rssd id,top holder name,top holder city,top holder state,top holder country,respondent rssd id,parent rssd id,respondent fips state number,activity year_y,agency code_y,federal tax id,respondent name,respondent mailing address,respondent city,respondent state,respondent zip code,parent name,parent address,parent city,parent state,parent zip code,respondent name (panel)_y,respondent city (panel)_y,respondent state (panel)_y,assets_y,other lender code_y,region code,lar count,validity error
2013,76-0520586,9,0000676656,AMEGY BANK NA                 ,HOUSTON                  ,TX,0,31000,1,AMEGY MORTGAGE COMPANY  LLC                                           ,THE WOODLANDS            ,TX                    ,1027004,ZIONS BC                      ,SALT LAKE CITY           ,UT,UNITED STATES                           ,2807203,676656,48,2013,9,76-0520586,AMEGY MORTGAGE COMPANY  L.L.C.,4576 RESEARCH FOREST DRIVE,THE WOODLANDS,TX,77381,ZIONS BANCORPORATION,ONE SOUTH MAIN STREET,SALT LAKE CITY,UT,84133-1109,AMEGY MORTGAGE COMPANY  LLC,THE WOODLANDS,TX,31000,1,0,2736,N
2013,0000000047,1,          ,                              ,                         ,  ,3,2793023,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,1208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,693345,0,18,2013,1,35-0704860,FIRST FINANCIAL BANK NA,1401 S 3RD ST,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,FIRST FNCL BK NA,TERRE HAUTE,IN,2793023,0,3,3306,N
2013,0000000047,1,          ,                              ,                         ,  ,3,2793023,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,1208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,693345,0,18,2013,3,63-0211790,TRADERS & FARMERS BANK,P O BOX 550,HALEYVILLE,AL,35565,,,,,,TRADERS & FARMERS BK,HALEYVILLE,AL,362019,0,5,326,N
2013,0000000047,3,          ,                              ,                         ,  ,5,362019,0,TRADERS & FARMERS BK                                                  ,HALEYVILLE               ,AL                    ,3467305,TRADERS & FARMERS BSHRS       ,HALEYVILLE               ,AL,UNITED STATES                           ,390336,0,1,2013,1,35-0704860,FIRST FINANCIAL BANK NA,1401 S 3RD ST,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,FIRST FNCL BK NA,TERRE HAUTE,IN,2793023,0,3,3306,N
2013,0000000047,3,          ,                              ,                         ,  ,5,362019,0,TRADERS & FARMERS BK                                                  ,HALEYVILLE               ,AL                    ,3467305,TRADERS & FARMERS BSHRS       ,HALEYVILLE               ,AL,UNITED STATES                           ,390336,0,1,2013,3,63-0211790,TRADERS & FARMERS BANK,P O BOX 550,HALEYVILLE,AL,35565,,,,,,TRADERS & FARMERS BK,HALEYVILLE,AL,362019,0,5,326,N
2013,0000000056,1,          ,                              ,                         ,  ,3,6487854,0,FIRST FNCL BK NA                                                      ,HAMILTON                 ,OH                    ,1071276,FIRST FNCL BC                 ,CINCINNATI               ,OH,UNITED STATES                           ,165628,0,39,2013,1,31-0308605,FIRST FINANCIAL BANK  N.A.,255 E 5TH STREET-SUITE 700,CINCINNATI,OH,45202,,,,,,FIRST FNCL BK NA,HAMILTON,OH,6487854,0,3,2420,N
2013,0000000086,1,          ,                              ,                         ,  ,3,51872,0,FIRST NB                                                              ,GERMANTOWN               ,OH                    ,0,                              ,                         ,  ,                                        ,505916,0,39,2013,1,31-0294798,FIRST NATIONAL BANK OF GERMANT,17 NORTH MAIN STREET,GERMANTOWN,OH,45327-1349,,,,,,FIRST NB,GERMANTOWN,OH,51872,0,3,42,N
2013,0000000182,1,          ,                              ,                         ,  ,4,401663,0,EXCHANGE NB&TC CO                                                     ,ATCHISON                 ,KS                    ,1054000,EXCHANGE BSHRS CORP OF KS     ,ATCHISON                 ,KS,UNITED STATES                           ,144052,0,20,2013,1,48-1175601,EXCHANGE NATIONAL BANK & TRUST,600 COMMERCIAL,ATCHISON,KS,66002,,,,,,EXCHANGE NB&TC CO,ATCHISON,KS,401663,0,4,256,N
2013,0000000324,1,          ,                              ,                         ,  ,1,817381,0,FIRST NB&TC NEWTOWN                                                   ,NEWTOWN                  ,PA                    ,1117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,1007417,0,42,2013,1,23-0916895,FIRST NATIONAL BANK AND TRUST,40 SOUTH STATE ST,NEWTOWN,PA,18940,,,,,,FIRST NB&TC NEWTOWN,NEWTOWN,PA,817381,0,1,234,N
2013,0000000324,1,          ,                              ,                         ,  ,1,817381,0,FIRST NB&TC NEWTOWN                                                   ,NEWTOWN                  ,PA                    ,1117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,1007417,0,42,2013,3,64-0750822,CITIZENS BANK,814 MAIN STREET,COLUMBIA,MS,39429,,,,,,CITIZENS BK,COLUMBIA,MS,362481,0,13,741,N
2013,0000000324,3,          ,                              ,                         ,  ,13,362481,0,CITIZENS BK                                                           ,COLUMBIA                 ,MS                    ,1246681,CITIZENS CORP                 ,COLUMBIA                 ,MS,UNITED STATES                           ,514132,0,28,2013,1,23-0916895,FIRST NATIONAL BANK AND TRUST,40 SOUTH STATE ST,NEWTOWN,PA,18940,,,,,,FIRST NB&TC NEWTOWN,NEWTOWN,PA,817381,0,1,234,N
2013,0000000324,3,          ,                              ,                         ,  ,13,362481,0,CITIZENS BK                                                           ,COLUMBIA                 ,MS                    ,1246681,CITIZENS CORP                 ,COLUMBIA                 ,MS,UNITED STATES                           ,514132,0,28,2013,3,64-0750822,CITIZENS BANK,814 MAIN STREET,COLUMBIA,MS,39429,,,,,,CITIZENS BK,COLUMBIA,MS,362481,0,13,741,N
2013,0000000325,1,          ,                              ,                         ,  ,1,360150,0,FNB BK NA                                                             ,DANVILLE                 ,PA                    ,1117129,FULTON FNCL CORP              ,LANCASTER                ,PA,UNITED STATES                           ,131418,0,42,2013,1,24-0558097,FNB BANK  N.A.,354 MILL STREET,DANVILLE,PA,17821,FULTON FINANCIAL CORPORATION,ONE PENN SQUARE,LANCASTER,PA,17604,FNB BK NA,DANVILLE,PA,360150,0,1,598,N
2013,0000000347,1,          ,                              ,                         ,  ,3,61645,0,FIRST NB LACON                                                        ,LACON                    ,IL                    ,1208988,FIRST LACON CORP              ,LACON                    ,IL,UNITED STATES                           ,824738,0,17,2013,1,36-1078900,THE 1ST NATIONAL BANK OF LACON,111 S BROAD ST,LACON,IL,61540,,,,,,FIRST NB LACON,LACON,IL,61645,0,3,30,N
2013,0000000497,1,          ,                              ,                         ,  ,1,227546,0,FIRST NB                                                              ,SUFFIELD                 ,CT                    ,3431007,FIRST SUFFIELD FNCL           ,SUFFIELD                 ,CT,UNITED STATES                           ,115100,0,9,2013,1,06-0343370,THE FIRST NATIONAL BANK OF SUF,30 BRIDGE STREET  P.O. BOX 96,SUFFIELD,CT,06078,FIRST SUFFIELD FINANCIAL INC.,30 BRIDGE STREET  P.O. BOX 96,SUFFIELD,CT,06078,FIRST NB,SUFFIELD,CT,227546,0,1,293,N
2013,0000000644,1,          ,                              ,                         ,  ,1,579821,0,HONESDALE NB                                                          ,HONESDALE                ,PA                    ,1144107,HONAT BC                      ,HONESDALE                ,PA,UNITED STATES                           ,465618,0,42,2013,1,24-0614415,THE HONESDALE NATIONAL BANK,P  O BOX 350,HONESDALE,PA,18431-0350,,,,,,HONESDALE NB,HONESDALE,PA,579821,0,1,986,N
