activity year_x,respondent id,agency code_x,parent respondent id,parent name (panel),parent city (panel),parent state (panel),region,assets_x,other lender code_x,respondent name (panel)_x,respondent city (panel)_x,respondent state (panel)_x,top holder rssd id,top holder name,top holder city,top holder state,top holder country,respondent rssd id,parent rssd id,respondent fips state number,activity year_y,agency code_y,federal tax id,respondent name,respondent mailing address,respondent city,respondent state,respondent zip code,parent name,parent address,parent city,parent state,parent zip code,respondent name (panel)_y,respondent city (panel)_y,respondent state (panel)_y,assets_y,other lender code_y,region code,lar count,validity error
2016,76-0520586,9,0000676656,AMEGY BANK NA                 ,HOUSTON                  ,TX,0,31000,1,AMEGY MORTGAGE COMPANY  LLC                                           ,THE WOODLANDS            ,TX                    ,1027004,ZIONS BC                      ,SALT LAKE CITY           ,UT,UNITED STATES                           ,2807203,676656,48,2016,9,76-0520586,AMEGY MORTGAGE COMPANY  L.L.C.,4576 RESEARCH FOREST DRIVE,THE WOODLANDS,TX,77381,ZIONS BANCORPORATION,ONE SOUTH MAIN STREET,SALT LAKE CITY,UT,84133-1109,AMEGY MORTGAGE COMPANY  LLC,THE WOODLANDS,TX,31000,1,0,3306,N
2016,0000000046,1,          ,                              ,                         ,  ,3,138285,0,FIRST NB                                                              ,MCCONNELSVILLE           ,OH                    ,1137891,FNB SHARES                    ,MCCONNELSVILLE           ,OH,UNITED STATES                           ,44929,0,39,2016,1,31-4247738,FIRST NATIONAL BANK OF MCCONNE,86 N. KENNEBEC AVENUE  PO BOX 208,MCCONNELSVILLE,OH,43756-0208,FNB SHARES  INC.,PO BOX 208  86 N. KENNEBEC AVENUE,MCCONNELSVILLE,OH,43756,FIRST NB,MCCONNELSVILLE,OH,138285,0,3,129,N
2016,0000000047,1,          ,                              ,                         ,  ,3,2882577,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,1208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,693345,0,18,2016,1,35-0704860,FIRST FINANCIAL BANK NA,1401 S 3RD ST,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,FIRST FNCL BK NA,TERRE HAUTE,IN,2882577,0,3,2695,N
2016,0000000047,1,          ,                              ,                         ,  ,3,2882577,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,1208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,693345,0,18,2016,3,63-0211790,TRADERS AND FARMERS BANK,809 20TH STREET,HALEYVILLE,AL,35565,,,,,,TRADERS & FARMERS BK,HALEYVILLE,AL,365670,0,5,234,N
2016,0000000047,3,          ,                              ,                         ,  ,5,365670,0,TRADERS & FARMERS BK                                                  ,HALEYVILLE               ,AL                    ,3467305,TRADERS & FARMERS BSHRS       ,HALEYVILLE               ,AL,UNITED STATES                           ,390336,0,1,2016,1,35-0704860,FIRST FINANCIAL BANK NA,1401 S 3RD ST,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,FIRST FNCL BK NA,TERRE HAUTE,IN,2882577,0,3,2695,N
2016,0000000047,3,          ,                              ,                         ,  ,5,365670,0,TRADERS & FARMERS BK                                                  ,HALEYVILLE               ,AL                    ,3467305,TRADERS & FARMERS BSHRS       ,HALEYVILLE               ,AL,UNITED STATES                           ,390336,0,1,2016,3,63-0211790,TRADERS AND FARMERS BANK,809 20TH STREET,HALEYVILLE,AL,35565,,,,,,TRADERS & FARMERS BK,HALEYVILLE,AL,365670,0,5,234,N
2016,0000000086,1,          ,                              ,                         ,  ,3,52364,0,FIRST NB                                                              ,GERMANTOWN               ,OH                    ,0,                              ,                         ,  ,                                        ,505916,0,39,2016,1,31-0294798,FIRST NATIONAL BANK OF GERMANT,17 NORTH MAIN STREET,GERMANTOWN,OH,45327-1349,,,,,,FIRST NB,GERMANTOWN,OH,52364,0,3,38,N
2016,0000000324,1,          ,                              ,                         ,  ,1,860869,0,FIRST NB&TC NEWTOWN                                                   ,NEWTOWN                  ,PA                    ,1117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,1007417,0,42,2016,1,23-0916895,FIRST NATIONAL BANK AND TRUST,40 SOUTH STATE ST,NEWTOWN,PA,18940,,,,,,FIRST NB&TC NEWTOWN,NEWTOWN,PA,860869,0,1,184,N
2016,0000000324,1,          ,                              ,                         ,  ,1,860869,0,FIRST NB&TC NEWTOWN                                                   ,NEWTOWN                  ,PA                    ,1117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,1007417,0,42,2016,3,64-0750822,CITIZENS BANK,814 MAIN STREET,COLUMBIA,MS,39429,,,,,,CITIZENS BK,COLUMBIA,MS,396427,0,13,641,N
2016,0000000324,3,          ,                              ,                         ,  ,13,396427,0,CITIZENS BK                                                           ,COLUMBIA                 ,MS                    ,1246681,CITIZENS CORP                 ,COLUMBIA                 ,MS,UNITED STATES                           ,514132,0,28,2016,1,23-0916895,FIRST NATIONAL BANK AND TRUST,40 SOUTH STATE ST,NEWTOWN,PA,18940,,,,,,FIRST NB&TC NEWTOWN,NEWTOWN,PA,860869,0,1,184,N
