activity_year_x,lei,tax_id,agency_code_x,id_2017,respondent_rssd,respondent_name_x,respondent_state_x,respondent_city_x,assets,other_lender_code,parent_rssd,parent_name,topholder_rssd,topholder_name,activity_year_y,calendar_quarter,agency_code_y,respondent_name_y,respondent_state_y,respondent_city_y,respondent_zip_code,lar_count
2022,5493009YXZEN8325UC34,46-3986756,7,,4877394,"HOME MORTGAGE ALLIANCE, LLC",DE,DOVER,-1,3,-1,-1,-1,,2022,4,7,"HOME MORTGAGE ALLIANCE, LLC",IL,CHICAGO,60613,1077
2022,AD6GFRVSDT01YPT1CS68,22-1146430,9,817824,817824,"PNC Bank, National Association",DE,Wilmington,551902526,0,1469314,"PNC BANCORP, INC.",1069778,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",2022,4,9,PNC BANK N.A.,PA,Pittsburgh,15222,197790
2022,549300HW662MN1WU8550,38-2750395,7,3870651,3870651,"UNITED WHOLESALE MORTGAGE, LLC",MI,PLYMOUTH,-1,3,-1,-1,-1,,2022,4,7,United Wholesale Mortgage,MI,Pontiac,48341,462351
2022,549300AG64NHILB7ZP05,26-4599244,7,4438209,4438209,"LOANDEPOT.COM, LLC",DE,DOVER,-1,3,-1,-1,-1,,2022,4,7,"LOANDEPOT.COM, LLC",CA,IRVINE,92618,249252
2022,5493000XC2Y1SLXRQP11,72-1591908,7,72-1591908,-1,"INFINITY EQUITY GROUP, INC.",CA,SACRAMENTO,-1,3,-1,-1,-1,,2022,4,7,Omega Mortgage Group,CA,Redding,96002-0517,384
2022,RVDPPPGHCGZ40J4VQ731,26-2049351,9,4186591,4186591,"PENNYMAC LOAN SERVICES, LLC",DE,WILMINGTON,-1,3,-1,-1,-1,,2022,4,9,PENNYMAC LOAN SERVICES LLC,CA,WESTLAKE VILLAGE,91361,328053
2022,549300MOTRV68OSXM837,35-0536745,3,841472,841472,Mutual Savings Bank,IN,Franklin,241562,0,3252659,-1,3252659,THIRD CENTURY BANCORP,2022,4,3,MUTUAL SAVINGS BANK,IN,FRANKLIN,46131,158
2022,B4TYDEB6GKMZO031MB27,94-1687665,9,480228,480228,"Bank of America, National Association",NC,Charlotte,2519525000,0,1379552,BANA HOLDING CORPORATION,1073757,BANK OF AMERICA CORPORATION                                                                                             ,2022,4,9,Bank of America NA,TX,Plano,75024,348961
2022,5493000V0CXKSOK29E51,23-2852733,2,2580243,2580243,American Bank,PA,Allentown,848173,0,3008753,-1,3008753,AMERICAN BANK INCORPORATED,2022,4,2,American Bank,PA,Allentown,18104,166
2022,549300AQ3T62GXDU7D76,95-2146137,7,1569885,1569885,GUILD MORTGAGE COMPANY LLC,CA,Glendale,-1,3,-1,-1,-1,,2022,4,7,Guild Mortgage Company LLC,CA,San Diego,92111,91409
2022,549300SCFWZXMDMZPE93,92-0164378,3,3195242,4802136,"RESIDENTIAL MORTGAGE, LLC",AK,Anchorage,-1,3,-1,-1,3025385,,2022,4,3,"Residential Mortgage, LLC.",AK,Anchorage,99503,2486
2022,549300LBCBNR1OT00651,75-2921540,7,3935523,3935523,NATIONSTAR MORTGAGE LLC,DE,WILMINGTON,-1,3,-1,-1,-1,,2022,4,7,Nationstar Mortgage,TX,Coppell,75019,151383
2022,549300YOESI1GLKRL151,33-0051773,7,,3875692,"STEARNS LENDING, LLC",CA,Sacramento,-1,3,-1,-1,-1,,2022,4,7,"STEARNS LENDING, LLC",IL,CHICAGO,60613,2028
2022,HUX2X73FUCYHUVH1BK78,34-0797057,9,280110,280110,KeyBank National Association,OH,Cleveland,183977708,0,1068025,KEYCORP,1068025,KEYCORP                                                                                                                 ,2022,4,9,KeyBank National Association,OH,Cleveland,44114,53620
2022,549300S8SHBRCI7UU819,23-7250155,5,858975,858975,Baxter Credit Union,IL,Vernon Hills,5072223,0,-1,-1,-1,,2022,4,5,BAXTER CREDIT UNION,IL,340 N MILWAUKEE AVE,60061,6276
2022,549300MOKX1F2TX1WK17,43-0216410,3,1001853,1001853,Citizens Bank,MO,New Haven,273759,0,1099784,-1,1099784,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",2022,4,3,Citizens Bank,MO,New Haven,63068,202
2022,549300C4ZH7G6OB81F33,48-0296945,2,1014853,1014853,Citizens Bank of Kansas,KS,Kingman,487853,0,1061987,-1,1061987,"KING BANCSHARES, INC.                                                                                                   ",2022,4,2,CITIZENS BANK OF KANSAS,KS,KINGMAN,67068,240
2022,549300C2GTHMQQJ5CS20,04-1294820,3,952172,952172,Everett Co-operative Bank,MA,Everett,666492,0,5723621,ECB BANCORP INC,5723621,ECB BANCORP INC,2022,4,3,Everett Co-Operative Bank,MA,Everett,02149,416
2022,549300MP3KK77THHQT36,91-1069728,3,307679,307679,Bank of the Pacific,WA,Aberdeen,1319331,0,2560236,-1,2560236,PACIFIC FINANCIAL CORPORATION                                                                                           ,2022,4,3,Bank of the Pacific,WA,Aberdeen,98520,685
2022,549300VORTI31GZTJL53,23-2470039,7,3904891,3904891,"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",PA,Harrisburg,-1,3,-1,-1,-1,,2022,4,7,"CARDINAL FINANCIAL COMPANY, LI",NC,CHARLOTTE,28273,91195
2022,549300QFJDBOCX7WKY08,75-1747054,1,599764,599764,The American National Bank of Texas,TX,Terrell,5330915,0,2326629,-1,1895007,"A.N.B. HOLDING COMPANY, LTD.                                                                                            ",2022,4,1,AMERICAN NATIONAL BANK OF TEXA,TX,TERRELL,75160,945
2022,549300XQVJ1XBNFA5536,76-0478830,7,3913576,3913576,21ST MORTGAGE CORPORATION,DE,WILMINGTON,-1,3,-1,-1,-1,,2022,4,7,21ST MORTGAGE,TN,KNOXVILLE,37902,175852
2022,5493000OOREHUZON5E13,91-0419072,5,680699,680699,SPOKANE FIREFIGHTERS CREDIT UNION,WA,Spokane,76684,0,-1,-1,-1,,2022,4,5,Spokane Firefighters Credit Un,WA,Spokane,99205,73
2022,549300SHE1JTCOWBP090,56-0475645,9,1189117,1189117,STATE EMPLOYEES' Credit Union,NC,Raleigh,51653025,0,-1,-1,-1,,2022,4,9,State Employees' Credit Union,NC,Raleigh,27611,66121
2022,549300VZVN841I2ILS84,57-1175755,7,4183602,4183602,"CROSSCOUNTRY MORTGAGE, LLC",DE,WILMINGTON,-1,3,-1,-1,-1,,2022,4,7,"CROSSCOUNTRY MORTGAGE, LLC",OH,Cleveland,44114,159373
2022,549300KIOYNU323LVJ37,68-0382674,7,3955754,3955754,AMERICAN PACIFIC MORTGAGE CORPORATION,CA,Sacramento,-1,3,-1,-1,-1,,2022,4,7,American Pacific Mortgage Corporation,CA,Roseville,95661,39462
2022,549300SNAY3J7NZEU618,73-0120518,1,241157,241157,Vision Bank,OK,Ada,864242,0,3292253,-1,3292253,"VISION BANCSHARES, INC.",2022,4,1,VISION BANK,OK,ADA,74821,597
2022,549300YAYQAARPBTRA72,84-2904615,7,,-1,"PROPER RATE, LLC",DE,WILMINGTON,-1,3,-1,-1,-1,,2022,4,7,"PROPER RATE, LLC",IL,CHICAGO,60613,2928
2022,5493008NWHQT1R22C024,95-4866828,7,4188175,4188175,"AMERICAN FINANCIAL NETWORK, INC.",CA,BREA,-1,3,-1,-1,-1,,2022,4,7,"AMERICAN FINANCIAL NETWORK, INC.",CA,BREA,92821,38913
2022,549300ALNLUNS3Y53T24,84-1594306,7,4922025,4922025,AMERICAN FINANCING CORPORATION,CO,Aurora,-1,3,-1,-1,-1,,2022,4,7,AMERICAN FINANCING CORPORATION,CO,AURORA,80014,52107
2022,549300C20KZIWPASBC15,76-0629353,7,3845855,3845855,"FIRST CONTINENTAL MORTGAGE, LTD.",TX,HOUSTON,-1,3,-1,-1,-1,,2022,4,7,"First Continental Mortgage, Ltd.",TX,Houston,77072,4026
2022,549300GKFNPRWNS0GF29,68-0309242,7,3955651,3955651,"CMG MORTGAGE, INC.",CA,SACRAMENTO,-1,3,-1,-1,-1,,2022,4,7,CMG MORTGAGE INC,CA,SAN RAMON,94583,71978
2022,549300XY701IELCE5Q08,87-0691650,7,4324982,4324982,BETTER MORTGAGE CORPORATION,CA,GLENDALE,-1,3,-1,-1,-1,,2022,4,7,Better Mortgage Corporation,NY,New York,10007,44750
2022,549300GQDT484LGI9C04,47-0873092,7,4533159,4533159,NETWORK CAPITAL FUNDING CORPORATION,NV,Carson City,-1,3,-1,-1,-1,,2022,4,7,NETWORK CAPITAL FUNDING CORPORATION,CA,IRVINE,92618,64330
2022,549300D064PXOX5JP483,44-0393970,3,,950141,Mid-Missouri Bank,MO,Springfield,873959,0,1133455,-1,1133455,"MID-MISSOURI BANCSHARES, INC.                                                                                           ",2022,4,3,Mid-Missouri Bank,MO,Springfield,65804,516
2022,549300WTZMQSET2VY242,87-0456373,7,3876998,3876998,ACADEMY MORTGAGE CORPORATION,UT,Salt Lake City,-1,3,-1,-1,-1,,2022,4,7,ACADEMY MORTGAGE CORPORATION,UT,DRAPER,84009,35687
2022,549300FNXYY540N23N64,37-1542226,7,3949593,3949593,NEWREZ LLC,DE,WILMINGTON,-1,3,-1,-1,-1,,2022,4,7,NEWREZ LLC,PA,FORT WASHINGTON,19034,212573
2022,549300LYRWPSYPK6S325,22-3039688,7,3966116,3966116,FREEDOM MORTGAGE CORPORATION,NJ,MT LAUREL,-1,3,-1,-1,-1,,2022,4,7,FREEDOM MORTGAGE CORPORATION,FL,BOCA RATON,33431,177112
2022,254900FDN5GT0HEKMT95,16-0717764,5,917890,917890,Western Division Federal Credit Union,NY,Williamsville,177547,0,-1,-1,-1,,2022,4,5,Western Division Federal Credit Union,NY,Williamsville,14221,288
2022,549300QG83M0EX7VC434,83-0110575,3,561659,561659,Pinnacle Bank - Wyoming,WY,Cody,1325996,0,1053272,-1,1053272,"PINNACLE BANCORP, INC.                                                                                                  ",2022,4,3,Pinnacle Bank - Wyoming,WY,Cody,82414,690
2022,254900FLY5OAGDXADY25,82-0264981,5,74980,74980,TruGrocer Federal Credit Union,ID,Boise,347012,0,-1,-1,-1,,2022,4,5,TruGrocer Federal Credit Union,ID,Boise,83706,65
2022,254900FIT283V26LD641,59-1008568,1,,408875,"Axiom Bank, N.A.",FL,Maitland,641060,0,3837962,-1,3837962,"AXIOM BANCSHARES, INC.",2022,4,1,AXIOM BANK,FL,MAITLAND,32751,1
2022,549300MUCXO2NIUSBW51,44-0180005,3,953843,953843,Pony Express Bank,MO,Braymer,324038,0,3201086,"PAGE BANCSHARES, INC.",3201086,"PAGE BANCSHARES, INC.",2022,4,3,Pony Express Bank,MO,Liberty,64068,71
2022,254900F8XCJE1G9OYR92,73-0489468,5,508690,508690,TTCU Federal Credit Union,OK,Tulsa,2611509,0,-1,-1,-1,,2022,4,5,TTCU Federal Credit Union,OK,Tulsa,74133,2243
2022,QFROUN1UWUYU0DVIWD51,31-0676865,1,723112,723112,"Fifth Third Bank, National Association",OH,Cincinnati,209696785,0,2990244,FIFTH THIRD FINANCIAL CORPORATION,1070345,FIFTH THIRD BANCORP                                                                                                     ,2022,4,1,"Fifth Third Bank, National Association",OH,Cincinnati,45263,110747
2022,254900FDPG829O6VBB05,20-1083350,7,,-1,Eastside Funding LLC,WA,Olympia,-1,3,-1,-1,-1,,2022,4,7,Eastside Funding LLC,WA,Kirkland,98033,679
2022,254900G3F37LO9XNZA95,38-1562639,5,742092,742092,Best Financial Credit Union,MI,Muskegon,124545,0,-1,-1,-1,,2022,4,5,BEST FINANCIAL CREDIT UNION,MI,MUSKEGON,49444,56
2022,5493000QUE28T1SH6H86,20-2248294,3,3429219,3429219,Heritage Bank & Trust,TN,Columbia,255185,0,5513121,-1,5513121,HERITAGE FINANCIAL CORPORATION,2022,4,3,Heritage Bank and Trust,TN,Columbia,38401,175
2022,254900EQ47K76CF2A976,47-0157560,2,544652,544652,CORNHUSKER BANK,NE,Lincoln,867559,0,2022529,-1,2022529,CORNHUSKER GROWTH CORPORATION                                                                                           ,2022,4,2,Cornhusker Bank,NE,Lincoln,68510,603
2022,5493001141Z7CINOSB62,81-3050127,7,,-1,"LOANFLIGHT LENDING, LLC",FL,TAMPA,-1,3,-1,-1,-1,,2022,4,7,"LoanFlight Lending, LLC.",FL,Tampa,33602,734
2022,254900EZO02JGHXM3V19,95-3668884,7,3875133,3875133,San Diego Funding,CA,San Diego,-1,3,-1,-1,-1,,2022,4,7,San Diego Funding,CA,San Diego,92106,168
2022,5493000QYMPN362T6V61,46-0972768,7,4878207,4878207,"SHELTER LENDING SERVICES, L.L.C.",IL,SPRINGFIELD,-1,3,-1,-1,-1,,2022,4,7,"SHELTER LENDING SERVICES, LLC",PA,FORT WASHINGTON,19034,204
2022,254900FP6SX9QWAB1J85,73-0222325,1,388155,388155,First Texoma National Bank,OK,Durant,224229,0,1141227,-1,1141227,"FNB FINANCIAL SERVICES, INC.                                                                                            ",2022,4,1,First Texoma National Bank,OK,Durant,74701,104
2022,254900G9IPJDT4OZYN57,58-0872500,5,523385,523385,Marshland Credit Union,GA,Brunswick,202230,0,-1,-1,-1,,2022,4,5,Marshland Credit Union,GA,Brunswick,31520,86
2022,254900GHFQ9KF6G4PN32,74-1137995,5,979197,979197,First Central Credit Union,TX,Waco,142193,0,-1,-1,-1,,2022,4,5,First Central Credit Union,TX,Waco,76710,168
2022,254900F213LCBO4VGA06,45-3131005,3,923707,923707,The Lowell Five Cent Savings Bank,MA,Lowell,1668813,0,4268358,-1,4268349,LOWELL FIVE BANCORP MHC,2022,4,3,Lowell Five Cent Savings Bank,MA,Tewksbury,01876,233
2022,5493000ZB0IHPJ66BJ32,94-2906968,3,497570,497570,Luther Burbank Savings,CA,Santa Rosa,7177008,0,3814208,-1,3814208,LUTHER BURBANK CORPORATION,2022,4,3,LUTHER BURBANK SAVINGS,CA,IRVINE,92618,1927
2022,54930011U6TQ5MJCDV15,48-0209570,3,918954,918954,ESB Financial,KS,Emporia,357639,0,1051670,-1,1051670,"NAMYAW CORPORATION, INC.                                                                                                ",2022,4,3,ESB Financial,KS,Emporia,66801,158
2022,54930012OSP7Z8V2FB74,26-1796172,7,26-1796172,-1,HOME SOLUTION LENDERS INC.,FL,BARTOW,-1,3,-1,-1,-1,,2022,4,7,Home Solution Lenders Inc,FL,Bartow,33830,916
2022,254900FL0I8OUMMBOZ11,27-5343827,7,,-1,Bench Equity L.L.C.,AZ,Mesa,-1,3,-1,-1,-1,,2022,4,7,"Bench Equity, LLC",AZ,Mesa,85209,476
2022,254900ERAT50PIMMZH17,41-0429399,5,828099,828099,First Alliance Credit Union,MN,Rochester,266899,0,-1,-1,-1,,2022,4,5,First Alliance Credit Union,MN,Stewartville,55976,215
2022,254900G3JF710WUIHN65,59-2976493,3,1436071,1436071,DRUMMOND COMMUNITY BANK,FL,Chiefland,985322,0,1493579,-1,1493579,DRUMMOND BANKING COMPANY                                                                                                ,2022,4,3,Drummond Community Bank,FL,Chiefland,32644,509
2022,549300BX448ALT10FI43,43-1883419,1,,2806877,The Federal Savings Bank,IL,Chicago,796563,0,4267463,-1,4267463,"NATIONAL BANCORP HOLDINGS, INC.",2022,4,1,THE FEDERAL SAVINGS BANK,IL,CHICAGO,60639,30549
2022,2549001R901BOUXDJQ68,64-0116890,3,835743,835743,The Bank of Holly Springs,MS,Holly Springs,388463,0,2590644,-1,2590644,HOLLY SPRINGS BANCSHARES INC                                                                                            ,2022,4,3,Bank of Holly Springs,MS,Holly Springs,38635,421
2022,549300CWZXP5LD3GVV26,58-0152750,3,546535,546535,Bank of Dudley,GA,Dudley,315275,0,2631444,-1,2631435,"HOGAN INVESTMENTS I, INC.                                                                                               ",2022,4,3,Bank of Dudley,GA,Dublin,31021,130
2022,549300G4ESSS6M0MEG51,87-1541254,7,,-1,ORIGINPOINT LLC,DE,WILMINGTON,-1,3,-1,-1,-1,,2022,4,7,"ORIGINPOINT, LLC",IL,CHICAGO,60613,1465
2022,549300E5EFGSFSL7WF75,47-2137405,7,,-1,"GIBRALTAR MORTGAGE SERVICES, LLC",DE,Wilmington,-1,3,-1,-1,-1,,2022,4,7,"GIBRALTAR MORTGAGE SERVICES, LLC",IL,CHICAGO,60613,568
2022,254900040LMONERSH242,42-0183300,2,269049,269049,VisionBank of Iowa,IA,Ames,600366,0,4442596,-1,4442596,"VISIONBANKSHARES, INC.",2022,4,2,VisionBank of Iowa,IA,Ames,50010,97
2022,549300MPX7PJGFD8HA09,52-0453270,3,429021,429021,The Queenstown Bank of Maryland,MD,Queenstown,658073,0,2618614,-1,2618614,"QUEENSTOWN BANCORP OF MARYLAND, INC.                                                                                    ",2022,4,3,Queenstown Bank of Maryland,MD,Queenstown,21658,184
2022,254900FK0S1L00V2UL14,25-0459150,3,282824,282824,Elderton State Bank,PA,Elderton,334278,0,3631012,-1,3631012,"KEYSTRONG FINANCIAL, INC.",2022,4,3,Elderton State Bank,PA,Elderton,15736,160
2022,54930018CRFUH37BKR13,56-0220355,3,348720,348720,Farmers & Merchants Bank,NC,Salisbury,945608,0,1076619,-1,1076619,F & M FINANCIAL CORPORATION                                                                                             ,2022,4,3,Farmers & Merchants Bank,NC,Granite Quarry,28072,146
2022,254900IEGKUDRDS23V26,51-0652314,7,,-1,"AAA CAPITAL INVESTMENT, INC.",CA,ALHAMBRA,-1,3,-1,-1,-1,,2022,4,7,"AAA Capital Investment, Inc.",CA,Alhambra,91780-3832,1240
2022,5493001A8DPRB21YBS87,51-0155270,5,977885,977885,PARSONS Federal Credit Union,CA,Pasadena,263863,0,-1,-1,-1,,2022,4,5,Parsons Federal Credit Union,CA,Pasadena,91124,332
2022,01KWVG908KE7RKPTNP46,91-1299114,3,258771,258771,HomeStreet Bank,WA,Seattle,7158676,0,3843507,-1,3843507,"HOMESTREET, INC.",2022,4,3,HomeStreet Bank,WA,Seattle,98101-2326,4995
2022,5493001FXF3J5C0QWQ87,80-0860209,7,80-0860209,-1,REVERSE MORTGAGE FUNDING LLC,DE,WILMINGTON,-1,3,-1,-1,-1,,2022,4,7,REVERSE MORTGAGE FUNDING LLC,NJ,BLOOMFIELD,07003,11549
2022,549300QLO8TSQW5JTK72,47-0523112,3,207050,207050,West Gate Bank,NE,Lincoln,1000660,0,1061736,-1,1061736,"WEST GATE BANSHARES, INC.                                                                                               ",2022,4,3,West Gate Bank,NE,Lincoln,68516,3149
2022,5493001F7QT2YW3K8D98,26-2434560,7,,4437499,"DSLD MORTGAGE, LLC",DE,DOVER,-1,3,-1,-1,-1,,2022,4,7,DSLD Mortgage LLC,LA,Baton Rouge,70809,2799
2022,254900F4K0YUTIQ7Q952,73-0742019,5,398695,398695,Oklahoma Educators Credit Union,OK,Oklahoma City,242040,0,-1,-1,-1,,2022,4,5,OKLAHOMA EDUCATORS CREDIT UNION,OK,BETHANY,73008,217
2022,2549005RQQ9A5CNFVG05,58-0508347,1,381932,381932,Commercial Banking Company,GA,Valdosta,355040,0,3839340,-1,3839340,"LOWNDES BANCSHARES, INC.",2022,4,1,Commercial Banking Company,GA,Valdosta,31602,230
2022,549300RE7CP5SUFPFX27,66-0214784,7,4184832,4184832,COOPERATIVA DE AHORRO Y CREDITO VEGA ALTA,PR,Vega Alta,-1,3,-1,-1,-1,,2022,4,7,VEGACOOP,PR,VEGA ALTA,00692,176
