activity_year_x,upper,tax_id,agency_code_x,id_2017,respondent_rssd,respondent_name_x,respondent_state_x,respondent_city_x,assets,other_lender_code,parent_rssd,parent_name,topholder_rssd,topholder_name,activity_year_y,calendar_quarter,lei,agency_code_y,respondent_name_y,respondent_state_y,respondent_city_y,respondent_zip_code,lar_count
2021,549300ZPSJZO10ZAX556,26-2301259,7,,-1,"AMERICAN HERITAGE LENDING, INC.",CA,COSTA MESA,-1,3,-1,,-1,,2021,4,549300ZPSJZO10ZAX556,7,"American Heritage Lending, LLC",CA,Irvine,92612,123
2021,254900FDPG829O6VBB05,20-1083350,7,,-1,Eastside Funding LLC,,,-1,-1,-1,,-1,,2021,4,254900FDPG829O6VBB05,7,Eastside Funding LLC,WA,Kirkland,98033,833
2021,54930069UB3VEGAQ9661,20-2960984,3,3356191,3356191,Bryant Bank,AL,Tuscaloosa,1839058,0,-1,,-1,,2021,4,54930069UB3VEGAQ9661,3,BRYANT BANK,AL,TUSCALOOSA,35406,973
2021,549300B63HUNVIWL5V50,39-1739126,1,2051127,2051127,American National Bank - Fox Cities,WI,Appleton,301912,0,2716640,,2716640,"AMERICAN NATIONAL BANCORP, INC.",2021,4,549300B63HUNVIWL5V50,1,American National Bank Fox Cities,WI,Appleton,54911,103
2021,213800K8DDKEL9X4OK57,37-0399785,3,382649,382649,FIRST SOUTHERN BANK.,IL,MARION,682935,0,2603450,,2603450,"MIDWEST COMMUNITY BANCSHARES, INC.",2021,4,213800K8DDKEL9X4OK57,3,First Southern Bank,IL,Marion,62959,367
2021,5493001LHLYJE6PHUL18,56-1366219,2,590220,590220,Uwharrie Bank,NC,Albemarle,654585,0,2082532,,2082532,UWHARRIE CAPITAL CORP,2021,4,5493001LHLYJE6PHUL18,2,UWHARRIE BANK,NC,ALBEMARLE,28002,1602
2021,549300S46DHLT3EQ9F05,41-0190810,3,279954,279954,Citizens Alliance Bank,MN,Clara City,847122,0,1128134,,1128134,"FORSTROM BANCORPORATION, INC.",2021,4,549300S46DHLT3EQ9F05,3,CITIZENS ALLIANCE BANK,MN,CLARA CITY,56222,272
2021,FVPV0TNOIM6NUIE59530,26-4382801,9,3918898,3918898,"CIT Bank, National Association",CA,Pasadena,45268906,0,1036967,,1036967,CIT GROUP INC.,2021,4,FVPV0TNOIM6NUIE59530,9,CIT BANK N.A.,CA,Pasadena,91103,3480
2021,549300PMVNBERP6TB157,88-0063564,5,863988,863988,ONE NEVADA CREDIT UNION,NV,Las Vegas,953920,0,-1,,-1,,2021,4,549300PMVNBERP6TB157,5,ONE NEVADA CREDIT UNION,NV,LAS VEGAS,89121,2052
2021,254900QIPUZ7PAK59X63,42-0463300,2,968249,968249,Peoples Bank,IA,Clive,341175,0,1210730,,1210730,RIGLER INVESTMENT COMPANY,2021,4,254900QIPUZ7PAK59X63,2,Peoples Bank,IA,Adel,50003,311
2021,549300SFG15JDKI5MD22,64-0134513,3,121642,121642,BankPlus,MS,Belzoni,2971297,0,1097306,,1097306,BANCPLUS CORPORATION,2021,4,549300SFG15JDKI5MD22,3,BANKPLUS,MS,RIDGELAND,39157,4105
2021,549300B3O78O3WRVJJ49,32-0256611,3,3612525,3612525,Level One Bank,MI,Farmington Hills,1582399,0,3612543,,3612543,"LEVEL ONE BANCORP, INC.",2021,4,549300B3O78O3WRVJJ49,3,Level One Bank,MI,Farmington Hills,48334,2598
2021,549300RXHLK3XT6SD946,74-1034487,3,45560,45560,Jefferson Bank,TX,San Antonio,1954112,0,1109290,,1109290,"JEFFERSON BANCSHARES, INC.",2021,4,549300RXHLK3XT6SD946,3,JEFFERSON BANK,TX,SAN ANTONIO,78201,983
2021,549300PIL8LFAQ04XC20,37-1801711,7,,-1,"SPRING EQ, LLC",DE,WILMINGTON,-1,3,-1,,-1,,2021,4,549300PIL8LFAQ04XC20,7,"SPRING EQ, LLC",PA,PHILADELPHIA,19104,33925
2021,54930078TNN7GKZ7NU89,52-1377663,1,538473,538473,"Presidential Bank, FSB",MD,Bethesda,617208,0,-1,,3917051,CLEVELAND FAMILY GENERATIONAL TRUST I,2021,4,54930078TNN7GKZ7NU89,1,"Presidential Bank, FSB",MD,Bethesda,20814,5160
2021,549300F8C5JA44WNMI75,27-2389039,7,4437873,4437873,AMERICAN NEIGHBORHOOD MORTGAGE ACCEPTANCE COMPANY LLC,DE,DOVER,-1,3,-1,,-1,,2021,4,549300F8C5JA44WNMI75,7,American Neighborhood Mortgage Acceptance Company,NJ,Mt. Laurel,08054,26000
2021,5493001UYBOONMFYPR30,46-3910740,7,,-1,"Legacy Home Loans, LLC",TN,BRENTWOOD,-1,3,-1,,-1,,2021,4,5493001UYBOONMFYPR30,7,Legacy Home Loans LLC d/b/a Steadfast Mortgage,TN,Nashville,37215,1641
2021,5493003Q3L1PO9NBVK64,91-0712539,5,656395,656395,WHATCOM EDUCATIONAL CREDIT UNION,WA,Bellingham,1712782,0,-1,,-1,,2021,4,5493003Q3L1PO9NBVK64,5,WHATCOM EDUCATIONAL CREDIT UNI,WA,BELLINGHAM,98227,1845
2021,5493004HRO0EREBVYM82,55-0203500,3,786733,786733,Jefferson Security Bank,WV,Shepherdstown,324402,0,-1,,-1,,2021,4,5493004HRO0EREBVYM82,3,Jefferson Security Bank,WV,Shepherdstown,25443,274
2021,549300O7SGM8FH65GQ47,37-0613731,3,416245,416245,Busey Bank,IL,Champaign,9679115,0,1203602,,1203602,FIRST BUSEY CORPORATION,2021,4,549300O7SGM8FH65GQ47,3,BUSEY BANK,IL,CHAMPAIGN,61820,5599
2021,5493008HZMBEJQEY0J72,48-0220635,3,198073,198073,First Federal Savings and Loan Bank,KS,Olathe,96953,0,3308051,,3308051,"FIRST FEDERAL OF OLATHE BANCORP, INC.",2021,4,5493008HZMBEJQEY0J72,3,First Federal Savings and Loan,KS,Olathe,66051,166
2021,549300QWYPPH283K6R36,37-0258325,3,738143,738143,Prospect Bank,IL,Paris,559587,0,2577766,,2577766,"EDGAR COUNTY BANC SHARES, INC.",2021,4,549300QWYPPH283K6R36,3,Prospect Bank,IL,Paris,61944,222
2021,549300RV76T00EYJVR19,57-0200135,3,277820,277820,Palmetto State Bank,SC,Hampton,547122,0,1076329,,1076329,"PALMETTO STATE BANKSHARES, INC.",2021,4,549300RV76T00EYJVR19,3,Palmetto State Bank,SC,Beaufort,29907,280
2021,2549001R901BOUXDJQ68,64-0116890,3,835743,835743,The Bank of Holly Springs,MS,Holly Springs,243789,0,2590644,,2590644,HOLLY SPRINGS BANCSHARES INC,2021,4,2549001R901BOUXDJQ68,3,Bank of Holly Springs,MS,Holly Springs,38635,367
2021,254900LKAJBFGO0IIP75,76-0454396,7,3844317,3844317,Republic State Mortgage Co.,TX,Houston,-1,3,-1,,-1,,2021,4,254900LKAJBFGO0IIP75,7,Republic State Mortgage Co.,TX,Houston,77006,6295
2021,WKN6AF1FCL7BBYGTGI83,35-0309764,2,785473,785473,First Savings Bank,IN,Clarksville,1289704,0,3908929,,3908929,"FIRST SAVINGS FINANCIAL GROUP, INC.",2021,4,WKN6AF1FCL7BBYGTGI83,2,FIRST SAVINGS BANK,IN,CLARKSVILLE,47129,18837
2021,549300YIOSILVWW8FH16,20-5041532,7,3877182,3877182,BRIDGELOCK CAPITAL,CA,WOODLAND HILLS,-1,3,-1,,-1,,2021,4,549300YIOSILVWW8FH16,7,Bridgelock Capital,CA,Woodland Hills,91367,573
2021,254900R028OZZTTP5D53,48-1159799,2,2304636,2304636,Community Bank,KS,Topeka,103197,0,2254704,,2254704,COMMUNITY FINANCIAL CORPORATION,2021,4,254900R028OZZTTP5D53,2,Community Bank,KS,Topeka,66614,286
2021,549300QXTT2NBSRNYO73,81-0247002,5,826675,826675,EMBARK,MT,Great Falls,108676,0,-1,,-1,,2021,4,549300QXTT2NBSRNYO73,5,Embark Credit Union,MT,Great Falls,59401,104
2021,254900U5VN6O84EWQL12,72-6019738,5,857099,857099,BRECO Federal Credit Union,LA,Baton Rouge,46351,0,-1,,-1,,2021,4,254900U5VN6O84EWQL12,5,BRECO FCU,LA,Baton Rouge,70816,32
2021,254900ZZPN19KA3GL698,32-0245730,7,32-0245730,-1,DMD Financial Corporation,TX,Frisco,-1,3,-1,,-1,,2021,4,254900ZZPN19KA3GL698,7,DMD Financial Corporation,TX,Dallas,75240,16
2021,54930055Z5ZI5MLNR750,06-0696607,5,347198,347198,ACHIEVE FINANCIAL,CT,Berlin,131950,0,-1,,-1,,2021,4,54930055Z5ZI5MLNR750,5,ACHIEVE FINANCIAL CREDIT UNION,CT,BERLIN,06037,127
2021,549300FRCDZ60TVZUA57,20-0558805,3,3282852,3282852,Howard Bank,MD,Baltimore,2374512,0,3386910,,3386910,"HOWARD BANCORP, INC.",2021,4,549300FRCDZ60TVZUA57,3,HOWARD BANK,MD,BALTIMORE,21224,219
2021,549300RDO3TWTFEYC795,20-8190898,3,4264163,4264163,"Towne Mortgage, LLC",VA,SUFFOLK,-1,3,-1,,-1,,2021,4,549300RDO3TWTFEYC795,3,"Towne Mortgage, LLC",VA,Virginia Beach,23451,1401
2021,549300HS714PZ0BMPN11,87-0127320,5,347590,347590,CYPRUS Federal Credit Union,UT,West Jordan,1149915,0,-1,,-1,,2021,4,549300HS714PZ0BMPN11,5,Cyprus Federal Credit Union,UT,West Jordan,84084,1967
2021,5493005NXMQ7SP5TOF96,52-0505410,3,39327,39327,"Calvin B. Taylor Banking Company of Berlin, Maryland",MD,Berlin,545953,0,2391300,,2391300,"CALVIN B. TAYLOR BANKSHARES, INC.",2021,4,5493005NXMQ7SP5TOF96,3,CALVIN B TAYLOR BANKING CO OF,MD,BERLIN,21811,257
2021,549300AR337B2RGP3C69,20-2282203,1,3306280,3306280,Legacy National Bank,AR,Springdale,547146,0,5070192,,5070192,"LEGACY BANCSHARES, INC.",2021,4,549300AR337B2RGP3C69,1,LEGACY NATIONAL BANK,AR,P O BOX 6490,72766,340
2021,5493000DE489KJV5XK24,20-5669228,7,,-1,RAYSTAR MORTGAGE GROUP INC,OK,Tulsa,-1,3,-1,,-1,,2021,4,5493000DE489KJV5XK24,7,Raystar Mortgage Group Inc,OK,Tulsa,74137,7
2021,549300PPKM4YL2GY3713,53-0208722,5,971977,971977,N R L Federal Credit Union,VA,Alexandria,454592,0,-1,,-1,,2021,4,549300PPKM4YL2GY3713,5,NRL FEDERAL CREDIT UNION,VA,ALEXANDRIA,22312,424
2021,549300TQVOMKNKFOH392,45-0138060,1,657271,657271,Gate City Bank,ND,Fargo,2380296,0,-1,,-1,,2021,4,549300TQVOMKNKFOH392,1,Gate City Bank,ND,Fargo,58102,8053
2021,5493001E3OD1D4Y8KX63,23-3102701,7,4534053,4534053,"FIRST HERITAGE FINANCIAL, LLC",PA,Trevose,-1,3,-1,,-1,,2021,4,5493001E3OD1D4Y8KX63,7,"First Heritage Financial, LLC",PA,Trevose,19053,1024
2021,2549003QXUI2HKRWW551,38-0299643,5,206491,206491,AAC Credit Union,MI,Grand Rapids,150838,0,-1,,-1,,2021,4,2549003QXUI2HKRWW551,5,AAC Credit Union,MI,Grand Rapids,49504,290
2021,254900L8E0QUT5VH5G34,63-0439839,5,948689,948689,Florence Federal Credit Union,AL,Florence,54164,0,-1,,-1,,2021,4,254900L8E0QUT5VH5G34,5,Florence Federal Credit Union,AL,Florence,35630,39
2021,549300DSPT6YGS1ZLR56,99-0073450,5,253271,253271,HICKAM,HI,Pearl City,619323,0,-1,,-1,,2021,4,549300DSPT6YGS1ZLR56,5,HICKAM FEDERAL CREDIT UNION,HI,HONOLULU,96820,97
2021,549300X3PFQJ32XJSB27,38-0787825,3,132554,132554,mBank,MI,Manistique,1316588,0,1123933,,1123933,MACKINAC FINANCIAL CORPORATION,2021,4,549300X3PFQJ32XJSB27,3,mBank,WI,green bay,54301,1130
2021,2549008EFPQHWHJ5MO60,57-0146256,1,631422,631422,The Conway National Bank,SC,Conway,1260905,0,1134108,,1134108,CNB CORPORATION,2021,4,2549008EFPQHWHJ5MO60,1,The Conway National Bank,SC,Conway,29526,441
2021,5493001ONS27RG5HKB81,20-2862630,3,,3316739,SouthernTrust Bank,IL,Goreville,58652,0,4456593,,4456593,SOUTH PORTE FINANCIAL INC.,2021,4,5493001ONS27RG5HKB81,3,"SouthernTrust Bank - Marion, IL",IL,Marion,62959,118
