activity_year_x,lei,tax_id,agency_code_x,id_2017,respondent_rssd,respondent_name_x,respondent_state_x,respondent_city_x,assets,other_lender_code,parent_rssd,parent_name,topholder_rssd,topholder_name,activity_year_y,calendar_quarter,agency_code_y,respondent_name_y,respondent_state_y,respondent_city_y,respondent_zip_code,lar_count
2019,70WY0ID1N53Q4254VH70,42-1741646,9,60143,60143,Comerica Bank,TX,Dallas,70737276,0,1199844,COMERICA INCORPORATED,1199844,COMERICA INCORPORATED,2019,4,9,COMERICA BANK,MI,DETROIT,48226,13938
2019,549300W4FT4H1UWPGU95,42-0804594,5,225698,225698,GREENSTATE CREDIT UNION,IA,North Liberty,-1,0,-1,,-1,,2019,4,5,GreenState Credit Union,IA,NORTH LIBERTY,52317,16175
2019,54930067K4Z4NIZ4W068,04-6061145,5,196499,196499,RIVER WORKS,MA,Lynn,106429,0,-1,,-1,,2019,4,5,RiverWorks,MA,Lynn,02155,72
2019,549300YRN588YD6VNJ18,62-0198065,3,741330,741330,F&M Bank,TN,Clarksville,1105154,0,1138450,F&M FINANCIAL CORPORATION,1138450,F&M FINANCIAL CORPORATION,2019,4,3,F&M Bank,TN,Clarksville,37040,3637
2019,549300N968Y85YXDX139,63-0212370,3,134437,134437,Troy Bank and Trust Company,AL,Troy,875923,0,2349703,"HENDERSON BANCSHARES, INC.",1080139,TRUST NO. 3 UNDER THE WILL OF CHARLES HENDERSON,2019,4,3,TroyBankandTrust,AL,Troy,36081,179
2019,5493000TKDOVU0150P51,41-1677554,3,1481754,1481754,Premier Bank Rochester,MN,Rochester,209810,0,-1,,-1,,2019,4,3,Premier Bank Rochester,MN,Rochester,55902,65
2019,254900428YSAU4S4SW33,25-1738324,7,,-1,"Patriot Lending Services, Inc.",PA,Carnegie,-1,3,-1,,-1,,2019,4,7,Patriot Lending Services Inc,PA,Pittsburgh,15220,899
2019,2549006QH61JRY6BYY91,38-1381220,5,,413879,Muskegon Co-op Federal Credit Union,MI,Muskegon,59866,0,-1,,-1,,2019,4,5,Muskegon Co-op Federal Credit,MI,Muskegon,49440,93
2019,2549008LK3474E9U2888,93-0257765,5,852393,852393,OnPoint Community Credit Union,OR,Portland,-1,-1,-1,,-1,,2019,4,5,OnPoint Community Credit Union,OR,PORPORTLANDTLAND,97210,9146
2019,2549008YEXLNFKLF7548,25-0974214,5,1011674,1011674,Widget Federal Credit Union,PA,Erie,-1,0,-1,,-1,,2019,4,5,Widget Federal Credit Union,PA,Erie,16511,649
2019,2549009X2AG1P20YAJ63,33-0904883,1,2917317,2917317,Axos Bank,CA,San Diego,9796674,0,3814310,"AXOS FINANCIAL, INC.",3814310,"AXOS FINANCIAL, INC.",2019,4,1,Axos Bank,CA,San Diego,92122,5337
2019,254900M3DBBSBUPR5L27,42-0495795,5,476285,476285,R.I.A. Federal Credit Union,IA,Bettendorf,396171,0,-1,,-1,,2019,4,5,RIA Federal Credit Union,IA,Bettendorf,52722,756
2019,254900WQCRCK13A7DC81,61-0523393,5,90588,90588,Fortera Federal Credit Union,TN,Clarksville,-1,0,-1,,-1,,2019,4,5,Fortera FCU,TN,Clarksville,37040,707
2019,54930004MLYQ2HKUPN66,20-5066025,7,,-1,"TriStar Finance, Inc.",,,-1,-1,-1,,-1,,2019,4,7,"TriStar Finance, Inc",WA,Kirland,98033-7355,340
2019,5493000YNV8IX4VD3X12,62-0997810,7,1936928,1936928,"VANDERBILT MORTGAGE AND FINANCE, INC.",TN,KNOXVILLE,-1,3,-1,,-1,,2019,4,7,"VANDERBILT MORTGAGE AND FINANCE, INC",TN,MARYVILLE,37804,108308
2019,5493002578XYSRFY2C51,04-3413060,3,97804,97804,MountainOne Bank,MA,North Adams,889548,0,3100152,"MOUNTAINONE FINANCIAL, INC.",2634212,"MOUNTAINONE FINANCIAL, MHC",2019,4,3,MountainOne Bank,MA,North Adams,01247,323
2019,5493002FQ43Q3BNXZW27,62-0335770,3,709639,709639,Macon Bank and Trust Company,TN,Lafayette,394693,0,1136577,"MACON BANCTRUST, INC.",1136577,"MACON BANCTRUST, INC.",2019,4,3,Macon Bank and Trust Company,TN,Lafayette,37083,142
2019,54930087BYCGOODQ7P92,25-0971786,3,277277,277277,SSB Bank,PA,Pittsburgh,188766,0,5161353,"SSB BANCORP, INC.",5161335,"SSB BANCORP, MHC",2019,4,3,SSB Bank,PA,Pittsburgh,15216,146
2019,549300A7BPOO2YO2YE30,95-2900153,3,514066,514066,Montecito Bank & Trust,CA,Santa Barbara,1491726,0,1138919,MONTECITO BANCORP,1138919,MONTECITO BANCORP,2019,4,3,Montecito Bank & Trust,CA,Goleta,93117,217
2019,549300AFD1IR7H2CES48,43-1302908,3,770657,770657,The Nodaway Valley Bank,MO,Maryville,882086,0,1066414,"NODAWAY VALLEY BANCSHARES, INC.",1066414,"NODAWAY VALLEY BANCSHARES, INC.",2019,4,3,The Nodaway Valley Bank,MO,Maryville,64468,326
2019,549300B1DHIVKN5DEJ29,01-1978230,3,899008,899008,Winchester Savings Bank,MA,Winchester,542386,0,-1,,-1,,2019,4,3,Winchester Savings Bank,MA,Winchester,01890,187
2019,549300E57105E8PDY082,81-0247124,5,868590,868590,VALLEY FINANCIAL CREDIT UNION,MT,Billings,243972,0,-1,,-1,,2019,4,5,24214,MT,Billings,59102-5010,339
2019,549300EM8ID8J7F8OM55,54-1822464,7,3882524,3882524,"First Heritage Mortgage, LLC",VA,RESTON,-1,3,-1,,-1,,2019,4,7,"First Heritage Mortgage, LLC",VA,Fairfax,22030,6326
2019,549300H6C1OV8E3V1P15,73-1332958,3,1228034,1228034,First Bank & Trust Co.,OK,Duncan,585397,0,-1,,-1,,2019,4,3,FIRST BANK & TRUST CO,OK,DUNCAN,73534,545
2019,549300ILIUB22RTQKQ27,36-4917779,7,,-1,"BKCO MORTGAGE, LLC",DE,WILMINGTON,-1,3,-1,,-1,,2019,4,7,"BKCO Mortgage, LLC",WA,Bellingham,98226,185
2019,549300J59G4M2OH83E71,14-1036170,3,605610,605610,Sawyer Savings Bank,NY,Saugerties,246300,0,-1,,-1,,2019,4,3,Sawyer Savings Bank,NY,SAUGERTIES,12477,141
2019,549300MTM9IK3YSBEY34,91-0567189,5,674072,674072,OUR COMMUNITY CREDIT UNION,WA,Shelton,362619,0,-1,,-1,,2019,4,5,OUR COMMUNITY CREDIT UNION,WA,SHELTON,98584,8
2019,549300NBFJM2PBH24L77,48-0169210,3,273550,273550,The Citizens State Bank,KS,Moundridge,425599,0,1063039,"BON, INC.",2961226,"GOERING MANAGEMENT COMPANY, LLC",2019,4,3,TheCitizensStateBank,KS,Moundridge,67107,222
2019,549300Q1QXZDN5R0UD44,14-0779859,3,306908,306908,Jeff Bank,NY,Jeffersonville,501695,0,1048504,JEFFERSONVILLE BANCORP,1048504,JEFFERSONVILLE BANCORP,2019,4,3,Jeff Bank,NY,Jeffersonville,12748,242
2019,549300QVQQMJ9IWR0G78,75-2857425,7,3844410,3844410,"CERTAINTY HOME LOANS, LLC",DE,DOVER,-1,3,-1,,-1,,2019,4,7,"Certainty Home Loans, LLC",TX,Plano,75024,7014
2019,549300R3EV7MGYLQ4776,39-1898291,3,2536633,2536633,Hiawatha Bank and Trust Company,IA,Hiawatha,53260,0,1203910,COUNTRY BANCORPORATION,1203910,COUNTRY BANCORPORATION,2019,4,3,Hiawatha Bank and Trust,IA,Hiawatha,52233-1225,25
2019,549300TXW4YZE1CSWA75,04-1148930,3,119779,119779,Cape Cod Co-operative Bank,MA,Yarmouth Port,931608,0,3444801,"COASTAL AFFILIATES, MHC",3444801,"COASTAL AFFILIATES, MHC",2019,4,3,The Cooperative Bank of Cape Cod,MA,YARMOUTH PORT,02675,566
2019,549300UZLRT6BCR3ZQ32,26-1253876,1,3706013,3706013,Empire National Bank,NY,Islandia,988203,0,4504533,"EMPIRE BANCORP, INC.",4504533,"EMPIRE BANCORP, INC.",2019,4,1,Empire National Bank,NY,Islandia,11749,62
2019,549300V3N91EH05UWL23,95-1659710,5,1017087,1017087,SKYONE Federal Credit Union,CA,Hawthorne,-1,0,-1,,-1,,2019,4,5,Skyone Federal Credit Union,CA,HAWTHORNE,90250,169
2019,549300V5MRNYGHSGR060,73-6093655,5,576792,576792,OKLAHOMA'S CREDIT UNION,OK,Oklahoma City,506990,-1,-1,,-1,,2019,4,5,Oklahoma's Credit Union,OK,Oklahoma City,73124-4027,860
2019,549300Y1CTV4CYV07722,26-1359185,7,,-1,"Franklin Advantage, Inc",,,-1,-1,-1,,-1,,2019,4,7,Franklin Advantage Inc,CA,LAGUNA HILLS,92653,105
2019,7LTWFZYICNSX8D621K86,35-2420193,9,112819,112819,DEUTSCHE BANK AKTIENGESELLSCHAFT,NY,Frankfurt am Main ,-1,2,-1,,1242423,DEUTSCHE BANK AKTIENGESELLSCHAFT,2019,4,9,Deutsche Bank AG,NY,New York,10005,31
2019,D8RBTOL3JO2Q6IEO0F34,72-0124870,2,667757,667757,Origin Bank,LA,Choudrant,4790262,0,1885307,"ORIGIN BANCORP, INC.",1885307,"ORIGIN BANCORP, INC.",2019,4,2,Origin Bank,LA,West Monroe,71291,2622
2019,Q708HHR4LD2B7XIZNO92,59-0969721,1,384278,384278,First Federal Bank,FL,Lake City,1811622,0,3839201,"FIRST FEDERAL BANCORP, INC.",3846405,"FIRST FEDERAL BANCORP, MHC",2019,4,1,First Federal Bank,FL,LAKE CITY,32055,14818
2019,254900FGJF0W42LS9S31,48-1202871,3,2694944,2694944,Alliance Bank,KS,Topeka,98986,0,2695727,"NEW MILLENNIUM BANKSHARES, INC.",2695727,"NEW MILLENNIUM BANKSHARES, INC.",2019,4,3,Alliance Bank,KS,TOPEKA,66614,79
2019,254900JW6EZ5XWT7A251,93-0256725,5,,-1,Trailhead Credit Union,,,-1,-1,-1,,-1,,2019,4,5,Trailhead Credit Union,OR,Portland,97209,202
2019,5493006FYXPLR221TS92,46-4770767,7,4877433,4877433,"COMPASS HOME LOANS, LLC",DE,WILMINGTON,-1,3,-1,,-1,,2019,4,7,"Compass Home Loans, LLC",HI,Honolulu,96814,744
2019,549300BM4NS8HDJT3X28,52-1597440,7,3088867,3088867,INTERCOASTAL MORTGAGE COMPANY,VA,FAIRFAX,-1,3,-1,,-1,,2019,4,7,Intercoastal Mortgage Company,VA,Fairfax,22030,3085
2019,549300E1PJPTI4YS7H26,62-0527850,5,290986,290986,ASCEND FEDERAL CREDIT UNION,TN,Tullahoma,-1,0,-1,,-1,,2019,4,5,Ascend Federal Credit Union,TN,TULLAHOMA,37388,2407
2019,549300E5EFGSFSL7WF75,47-2137405,7,47-2137405,-1,"GIBRALTAR MORTGAGE SERVICES, LLC",DE,WILMINGTON,-1,3,-1,,-1,,2019,4,7,"Gibraltar Mortgage Services, LLC",TX,Houston,77056,836
2019,549300LM58V37XNHOB58,64-0116870,2,398837,398837,Copiah Bank,MS,Hazlehurst,224714,0,3319972,"COPIAH BANCSHARES, INC.",3319972,"COPIAH BANCSHARES, INC.",2019,4,2,Copiah Bank,MS,Hazlehurst,39083,97
2019,549300LTT1PNSPD2JT50,47-5403472,7,,-1,Western Express Lending,,,-1,-1,-1,,-1,,2019,4,7,Western Express Lending,CA,Lake Forest,92630,1358
2019,BFLFJ4PXRGDML87ZYT33,27-0217289,9,3938186,3938186,"BankUnited, National Association",FL,Miami Lakes,32077582,0,4028712,"BANKUNITED, INC.",4028712,"BANKUNITED, INC.",2019,4,9,"BankUnited, N.A.",FL,Miami Lakes,33016,6379
2019,549300P4RGN7F1H2N265,45-0192710,3,693952,693952,Security First Bank of North Dakota,ND,New Salem,182978,0,1127409,"OLIVER BANCORPORATION, INC.",1127409,"OLIVER BANCORPORATION, INC.",2019,4,3,Security First Bank of North Dakota,ND,Mandan,58554,139
2019,549300VIIXX6NYY12891,63-1282948,3,3034257,3034257,First Community Bank of Central Alabama,AL,Wetumpka,373533,0,3034248,"CENTRAL ALABAMA BANCSHARES, INC.",3034248,"CENTRAL ALABAMA BANCSHARES, INC.",2019,4,3,First Cmnity BK of Central AL,AL,Wetumpka,36092,172
2019,984500A4CD08CED38D66,85-0153938,5,736194,736194,GUADALUPE CREDIT UNION,NM,Santa Fe,162845,0,-1,,-1,,2019,4,5,Guadalupe Credit Union,NM,Santa Fe,87507,77
2019,254900HIDMT4ZG09RP47,45-4414811,7,,-1,Credence Funding Corporation,,,-1,-1,-1,,-1,,2019,4,7,Credence Funding,MD,Aberdeen,21001,631
2019,254900REMJXT9T25JI51,74-0962185,1,198961,198961,First National Bank of Bosque County,TX,Valley Mills,120737,0,1104110,VALLEY MILLS FINANCIAL CORPORATION,1104110,VALLEY MILLS FINANCIAL CORPORATION,2019,4,1,First National Bank of Bosque County,TX,Valley Mills,76689,77
