activity_year_x,lei,tax_id,agency_code_x,id_2017,respondent_rssd,respondent_name_x,respondent_state_x,respondent_city_x,assets,other_lender_code,parent_rssd,parent_name,topholder_rssd,topholder_name,activity_year_y,calendar_quarter,agency_code_y,respondent_name_y,respondent_state_y,respondent_city_y,respondent_zip_code,lar_count
2023,549300D88XVKM6DJOC77,61-0284535,3,786210,786210,"Traditional Bank, Inc.",KY,Mount Sterling,2145608,0,1070420,"TRADITIONAL BANCORPORATION, INC.                                                                                        ",1070420,"TRADITIONAL BANCORPORATION, INC.                                                                                        ",2023,4,3,Traditional Bank Inc.,KY,Mt Sterling,40353,910
2023,549300D8S1ETG70FFW35,74-6067520,5,347880,347880,H E B Credit Union,TX,San Antonio,217305,0,-1,,-1,,2023,4,5,HEB Federal Credit Union,TX,San Antonio,78249,309
2023,549300DJES4HXFQRN790,23-0937747,5,1012895,1012895,GOLD,PA,Allentown,155871,0,-1,,-1,,2023,4,5,GOLD Credit Union,PA,Allentown,18103,127
2023,549300D9ZODKN6CVV913,39-0477300,5,540896,540896,PRIME FINANCIAL CREDIT UNION,WI,Cudahy,147066,0,-1,,-1,,2023,4,5,PRIME FINANCIAL CREDIT UNION,WI,CUDAHY,53110,245
2023,549300DL0FLZ3XZV5J76,41-6024250,5,410298,410298,SHAREPOINT CREDIT UNION,MN,Bloomington,302328,0,-1,,-1,,2023,4,5,SHAREPOINT CREDIT UNION,MN,BLOOMINGTON,55437,196
2023,549300DEVPMBR765WH45,87-0212719,5,734976,734976,UTAH FIRST,UT,Salt Lake City,875682,0,-1,,-1,,2023,4,5,Utah First Credit Union,UT,SALT LAKE CITY,84111,1135
2023,549300DCAVODU8W5UW13,75-0861333,5,32775,32775,WICHITA FALLS TEACHERS FEDERAL CREDIT UNION,TX,Wichita Falls,95689,0,-1,,-1,,2023,4,5,Wichita Falls Teachers FCU,TX,Wichita Falls,76310,56
2023,549300D3IKJ7KU3SH574,71-0734575,1,2059990,2059990,Priority Bank,AR,Fayetteville,90642,0,3832033,PRIORITY ONE HOLDING COMPANY,3832033,PRIORITY ONE HOLDING COMPANY,2023,4,1,Priority Bank,AR,Ozark,72949,540
2023,549300DH8EI64ITBY388,54-1598853,7,,-1,"PGIM REAL ESTATE AGENCY FINANCING, LLC",DE,WILMINGTON,-1,3,-1,,-1,,2023,4,7,"PGIM Real Estate Agency Finance, LLC",NJ,Newark,07102,207
2023,549300DV8S0IJF2QWL30,47-0306960,3,982553,982553,Stockmens Bank,MT,Cascade,471646,0,2484417,"FIRST BANCSHARES, INC.                                                                                                  ",2484417,"FIRST BANCSHARES, INC.                                                                                                  ",2023,4,3,Stockmens Bank,MO,Springfield,65804,105
2023,549300DO51DW0RG07O39,23-6257323,5,315478,315478,BENCHMARK Federal Credit Union,PA,West Chester,327512,0,-1,,-1,,2023,4,5,Benchmark Federal Credit Union,PA,West Chester,19380,87
2023,549300D7GVUYHQEDEE56,87-0463610,7,3877632,3877632,UNITED SECURITY FINANCIAL CORP,UT,MURRAY,-1,3,-1,,-1,,2023,4,7,United Security Financial Corp,UT,Murray,84121,797
2023,549300DKUE4BMFY15Y36,83-2752837,3,,5349218,Trustar Bank,VA,Great Falls,664231,0,-1,,-1,,2023,4,3,TRUSTAR BANK,VA,Great Falls,22066,63
2023,549300DPRWSBUY619V27,71-0162300,2,663245,663245,Simmons Bank,AR,Pine Bluff,27409758,0,1094828,SIMMONS FIRST NATIONAL CORPORATION                                                                                      ,1094828,SIMMONS FIRST NATIONAL CORPORATION                                                                                      ,2023,4,2,SIMMONS BANK,AR,PINE BLUFF,71601,5648
2023,549300DLHIZLJ7617Q04,74-0557930,3,261360,261360,Citizens State Bank,TX,Somerville,1008648,0,2100089,"C.S.B. BANCSHARES, INC.                                                                                                 ",2100089,"C.S.B. BANCSHARES, INC.                                                                                                 ",2023,4,3,Citizens State Bank,TX,Somerville,77879,281
2023,549300D3Q016N7YOVW98,73-0977072,2,76854,76854,Grand Bank,OK,Tulsa,554293,0,1065967,GRAND CAPITAL CORPORATION                                                                                               ,1065967,GRAND CAPITAL CORPORATION                                                                                               ,2023,4,2,"Grand Bank, an Oklahoma Banking Corporation",OK,Tulsa,74114,41
2023,549300D2IR01BV6NPA49,22-1085787,3,548771,548771,Magyar Bank,NJ,New Brunswick,821617,0,3382846,"MAGYAR BANCORP, INC.",3382846,"MAGYAR BANCORP, INC.",2023,4,3,Magyar Bank,NJ,New Brunswick,08901,127
2023,549300D4P7FB9UH6CL48,37-6057285,5,91688,91688,Illinois State Police Federal Credit Union,IL,Springfield,122662,0,-1,,-1,,2023,4,5,Illinois State Police Federal Credit Union,IL,Springfield,62703,19
2023,549300DMYENRV818D594,74-2508160,7,4323912,4323912,SWBC MORTGAGE CORPORATION,TX,SAN ANTONIO,-1,3,-1,,-1,,2023,4,7,SWBC Mortgage Corporation,TX,San Antonio,78216,9277
2023,549300DDJMNOWGXL6236,39-0273800,3,205346,205346,Farmers Savings Bank,WI,Mineral Point,422498,0,1207338,SOUTHERN WISCONSIN BANCSHARES CORPORATION                                                                               ,1207338,SOUTHERN WISCONSIN BANCSHARES CORPORATION                                                                               ,2023,4,3,Farmers Savings Bank,WI,Mineral Point,53565,99
2023,549300D3HXQOVIN2DA88,73-0965506,3,507152,507152,Quail Creek Bank,OK,Oklahoma City,778498,0,1057962,"QUAIL CREEK BANCSHARES, INC.                                                                                            ",1057962,"QUAIL CREEK BANCSHARES, INC.                                                                                            ",2023,4,3,QUAIL CREEK BANK,OK,OKLAHOMA CITY,73120,178
2023,549300DRA4BDXW23LD45,41-1592297,7,3862384,3862384,"Servion, Inc.",MN,NEW BRIGHTON,-1,5,-1,,-1,,2023,4,7,Servion,MN,New Brighton,55112,1788
2023,549300DDLYW49R2HCV81,62-6039479,5,263391,263391,EASTMAN CREDIT UNION,TN,Kingsport,7481805,0,-1,,-1,,2023,4,5,EASTMAN CREDIT UNION,TN,KINGSPORT,37662,6771
2023,549300D5WZYDJFZQJ463,44-0541384,5,286073,286073,UNITED CONSUMERS CREDIT UNION,MO,Independence,193479,0,-1,,-1,,2023,4,5,UNITED CONSUMERS CREDIT UNION,MO,INDEPENDENCE,64055,38
2023,549300DTYWYXW2NOK656,06-1652426,7,3882663,3882663,"Member Options, LLC",VA,CHARLOTTESVILLE,-1,3,-1,,-1,,2023,4,7,"MEMBER OPTIONS, LLC",VA,CHARLOTTESVILLE,22903,389
2023,549300DG3IV05V4C4E03,72-0484657,7,3915468,3915468,EUSTIS MORTGAGE CORPORATION,LA,NEW ORLEANS,-1,3,-1,,-1,,2023,4,7,EUSTIS MORTGAGE CORPORATION,LA,NEW ORLEANS,70113,4241
2023,549300DHRESF8KLNP162,43-1161740,3,760854,760854,Southwest Missouri Bank,MO,Carthage,1087807,0,1063552,"SOUTHWEST MISSOURI BANCORPORATION, INC.                                                                                 ",1063552,"SOUTHWEST MISSOURI BANCORPORATION, INC.                                                                                 ",2023,4,3,Southwest Missouri Bank,MO,Carthage,64836,758
2023,549300EMC7T53UNNNA58,68-0645074,3,3595271,3595271,The Bank of Princeton,NJ,Princeton,1601779,0,5756133,PRINCETON BANCORP INC,5756133,PRINCETON BANCORP INC,2023,4,3,The Bank of Princeton,NJ,Princeton,08540,54
