activity year_x,respondent id,agency code_x,parent respondent id,parent name (panel),parent city (panel),parent state (panel),region,assets_x,other lender code_x,respondent name (panel)_x,respondent city (panel)_x,respondent state (panel)_x,top holder rssd id,top holder name,top holder city,top holder state,top holder country,respondent rssd id,parent rssd id,respondent fips state number,activity year_y,agency code_y,federal tax id,respondent name,respondent mailing address,respondent city,respondent state,respondent zip code,parent name,parent address,parent city,parent state,parent zip code,respondent name (panel)_y,respondent city (panel)_y,respondent state (panel)_y,assets_y,other lender code_y,region code,lar count,validity error
2015,76-0520586,9,0000676656,AMEGY BANK NA                 ,HOUSTON                  ,TX,0,31000,1,AMEGY MORTGAGE COMPANY  LLC                                           ,THE WOODLANDS            ,TX                    ,1027004,ZIONS BC                      ,SALT LAKE CITY           ,UT,UNITED STATES                           ,2807203,676656,48,2015,9,76-0520586,AMEGY MORTGAGE COMPANY  L.L.C.,4576 RESEARCH FOREST DRIVE,THE WOODLANDS,TX,77381,ZIONS BANCORPORATION,ONE SOUTH MAIN STREET,SALT LAKE CITY,UT,84133-1109,AMEGY MORTGAGE COMPANY  LLC,THE WOODLANDS,TX,31000,1,0,2953,N
2015,0000000046,1,          ,                              ,                         ,  ,3,140444,0,FIRST NB                                                              ,MCCONNELSVILLE           ,OH                    ,1137891,FNB SHARES                    ,MCCONNELSVILLE           ,OH,UNITED STATES                           ,44929,0,39,2015,1,31-4247738,FIRST NATIONAL BANK OF MCCONNE,86 N. KENNEBEC AVENUE  PO BOX 208,MCCONNELSVILLE,OH,43756-0208,FNB SHARES  INC.,PO BOX 208  86 N. KENNEBEC AVENUE,MCCONNELSVILLE,OH,43756,FIRST NB,MCCONNELSVILLE,OH,140444,0,3,109,N
2015,0000000047,1,          ,                              ,                         ,  ,3,2904575,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,1208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,693345,0,18,2015,1,35-0704860,FIRST FINANCIAL BANK NA,1401 S 3RD ST,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,FIRST FNCL BK NA,TERRE HAUTE,IN,2904575,0,3,2540,N
2015,0000000047,1,          ,                              ,                         ,  ,3,2904575,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,1208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,693345,0,18,2015,3,63-0211790,TRADERS AND FARMERS BANK,P O BOX,HALEYVILLE,AL,35565,,,,,,TRADERS & FARMERS BK,HALEYVILLE,AL,361880,0,5,236,N
2015,0000000047,3,          ,                              ,                         ,  ,5,361880,0,TRADERS & FARMERS BK                                                  ,HALEYVILLE               ,AL                    ,3467305,TRADERS & FARMERS BSHRS       ,HALEYVILLE               ,AL,UNITED STATES                           ,390336,0,1,2015,1,35-0704860,FIRST FINANCIAL BANK NA,1401 S 3RD ST,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,FIRST FNCL BK NA,TERRE HAUTE,IN,2904575,0,3,2540,N
2015,0000000047,3,          ,                              ,                         ,  ,5,361880,0,TRADERS & FARMERS BK                                                  ,HALEYVILLE               ,AL                    ,3467305,TRADERS & FARMERS BSHRS       ,HALEYVILLE               ,AL,UNITED STATES                           ,390336,0,1,2015,3,63-0211790,TRADERS AND FARMERS BANK,P O BOX,HALEYVILLE,AL,35565,,,,,,TRADERS & FARMERS BK,HALEYVILLE,AL,361880,0,5,236,N
2015,0000000056,1,          ,                              ,                         ,  ,3,7197993,0,FIRST FNCL BK NA                                                      ,HAMILTON                 ,OH                    ,1071276,FIRST FNCL BC                 ,CINCINNATI               ,OH,UNITED STATES                           ,165628,0,39,2015,1,31-0308605,FIRST FINANCIAL BANK NA,255 EAST FIFTH STREET SUITE #900,CINCINNATI,OH,45202,FIRST FINANCIAL BANCORP,255 EAST FIFTH STREET SUITE 900,CINCINNATI,OH,45202,FIRST FNCL BK NA,HAMILTON,OH,7197993,0,3,2841,N
2015,0000000086,1,          ,                              ,                         ,  ,3,51910,0,FIRST NB                                                              ,GERMANTOWN               ,OH                    ,0,                              ,                         ,  ,                                        ,505916,0,39,2015,1,31-0294798,FIRST NATIONAL BANK OF GERMANT,17 NORTH MAIN STREET,GERMANTOWN,OH,45327-1349,,,,,,FIRST NB,GERMANTOWN,OH,51910,0,3,45,N
2015,0000000182,1,          ,                              ,                         ,  ,4,410405,0,EXCHANGE NB&TC CO                                                     ,ATCHISON                 ,KS                    ,1054000,EXCHANGE BSHRS CORP OF KS     ,ATCHISON                 ,KS,UNITED STATES                           ,144052,0,20,2015,1,48-0212120,EXCHANGE NATIONAL BANK & TRUST,600 COMMERCIAL  PO BOX 189,ATCHISON,KS,66002,,,,,,EXCHANGE NB&TC CO,ATCHISON,KS,410405,0,4,190,N
2015,0000000324,1,          ,                              ,                         ,  ,1,827291,0,FIRST NB&TC NEWTOWN                                                   ,NEWTOWN                  ,PA                    ,1117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,1007417,0,42,2015,1,23-0916895,FIRST NATIONAL BANK AND TRUST,40 SOUTH STATE ST,NEWTOWN,PA,18940,,,,,,FIRST NB&TC NEWTOWN,NEWTOWN,PA,827291,0,1,175,N
