activity year_x,respondent id,agency code_x,parent respondent id,parent name (panel),parent city (panel),parent state (panel),region,assets_x,other lender code_x,respondent name (panel)_x,respondent city (panel)_x,respondent state (panel)_x,top holder rssd id,top holder name,top holder city,top holder state,top holder country,respondent rssd id,parent rssd id,respondent fips state number,activity year_y,agency code_y,federal tax id,respondent name,respondent mailing address,respondent city,respondent state,respondent zip code,parent name,parent address,parent city,parent state,parent zip code,respondent name (panel)_y,respondent city (panel)_y,respondent state (panel)_y,assets_y,other lender code_y,region code,lar count,validity error
2011,00-3324993,1,0000013295,STERLING NATIONAL BK          ,NEW YORK                 ,NY,1,964388,1,STERLING NATL MTGE CO.  INC                                           ,GREAT NECK               ,NY                    ,0,                              ,                         ,  ,                                        ,2641649,64619,36,2011,1,11-3324993,STERLING NATL MTGE CO.  INC,98 CUTTERMILL RD,GREAT NECK,NY,11021-3006,STERLING NATIONAL BANK,650 5TH AVE,NEW YORK,NY,10019-6108,STERLING NATL MTGE CO.  INC,GREAT NECK,NY,964388,1,1,787,N
2011,0000000047,1,          ,                              ,                         ,  ,3,2363730,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,1208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,693345,0,18,2011,1,35-0704860,FIRST FINANCIAL BANK NA,1401 S 3RD ST,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,FIRST FNCL BK NA,TERRE HAUTE,IN,2363730,0,3,2950,N
2011,0000000047,1,          ,                              ,                         ,  ,3,2363730,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,1208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,693345,0,18,2011,3,63-0211790,TRADERS AND FARMERS BANK,P O BOX 550,HALEYVILLE,AL,35565,TRADERS AND FARMERS BANK,P O BOX 550,HALEYVILLE,AL,35565,TRADERS & FARMERS BK,HALEYVILLE,AL,356070,0,5,352,N
2011,0000000047,3,          ,                              ,                         ,  ,5,356070,0,TRADERS & FARMERS BK                                                  ,HALEYVILLE               ,AL                    ,3467305,TRADERS & FARMERS BSHRS       ,HALEYVILLE               ,AL,UNITED STATES                           ,390336,0,1,2011,1,35-0704860,FIRST FINANCIAL BANK NA,1401 S 3RD ST,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,FIRST FNCL BK NA,TERRE HAUTE,IN,2363730,0,3,2950,N
2011,0000000047,3,          ,                              ,                         ,  ,5,356070,0,TRADERS & FARMERS BK                                                  ,HALEYVILLE               ,AL                    ,3467305,TRADERS & FARMERS BSHRS       ,HALEYVILLE               ,AL,UNITED STATES                           ,390336,0,1,2011,3,63-0211790,TRADERS AND FARMERS BANK,P O BOX 550,HALEYVILLE,AL,35565,TRADERS AND FARMERS BANK,P O BOX 550,HALEYVILLE,AL,35565,TRADERS & FARMERS BK,HALEYVILLE,AL,356070,0,5,352,N
2011,0000000056,1,          ,                              ,                         ,  ,3,6237352,0,FIRST FNCL BK NA                                                      ,HAMILTON                 ,OH                    ,1071276,FIRST FNCL BC                 ,CINCINNATI               ,OH,UNITED STATES                           ,165628,0,39,2011,1,31-0308605,FIRST FINANCIAL BANK  N.A.,300 HIGH STREET    ATTN: MICKEY MULVANEY,HAMILTON,OH,45011,,,,,,FIRST FNCL BK NA,HAMILTON,OH,6237352,0,3,2470,N
2011,0000000086,1,          ,                              ,                         ,  ,3,60341,0,FIRST NB                                                              ,GERMANTOWN               ,OH                    ,0,                              ,                         ,  ,                                        ,505916,0,39,2011,1,31-0294798,FIRST NATIONAL BANK OF GERMANT,17 NORTH MAIN STREET,GERMANTOWN,OH,45327-1349,,,,,,FIRST NB,GERMANTOWN,OH,60341,0,3,17,N
2011,0000000182,1,          ,                              ,                         ,  ,4,101149,0,EXCHANGE NATIONAL BANK & TRUST                                        ,ATCHISON                 ,KS                    ,1054000,EXCHANGE BSHRS CORP OF KS     ,ATCHISON                 ,KS,UNITED STATES                           ,144052,0,20,2011,1,48-1175601,EXCHANGE NATIONAL BANK _TRUST,600 COMMERCIAL,ATCHISON,KS,66002,,,,,,EXCHANGE NATIONAL BANK & TRUST,ATCHISON,KS,101149,0,4,80,N
2011,0000000249,1,          ,                              ,                         ,  ,1,8759397,0,FIRST NB OF PA                                                        ,GREENVILLE               ,PA                    ,3005332,FNB CORP                      ,HERMITAGE                ,PA,UNITED STATES                           ,379920,0,42,2011,1,25-1255405,FIRST NATIONAL BANK OF PA,166 MAIN ST,GREENVILLE,PA,16125,,,,,,FIRST NB OF PA,GREENVILLE,PA,8759397,0,1,9814,N
2011,0000000324,1,          ,                              ,                         ,  ,1,730382,0,FIRST NATIONAL BANK AND TRUST                                         ,NEWTOWN                  ,PA                    ,1117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,1007417,0,42,2011,1,23-0916895,FIRST NATIONAL BANK AND TRUST,40 SOUTH STATE ST,NEWTOWN,PA,18940,,,,,,FIRST NATIONAL BANK AND TRUST,NEWTOWN,PA,730382,0,1,194,N
2011,0000000324,1,          ,                              ,                         ,  ,1,730382,0,FIRST NATIONAL BANK AND TRUST                                         ,NEWTOWN                  ,PA                    ,1117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,1007417,0,42,2011,3,64-0750822,CITIZENS BANK,814 MAIN STREET,COLUMBIA,MS,39429,,,,,,CITIZENS BK,COLUMBIA,MS,360004,0,13,655,N
2011,0000000324,3,          ,                              ,                         ,  ,13,360004,0,CITIZENS BK                                                           ,COLUMBIA                 ,MS                    ,1246681,CITIZENS CORP                 ,COLUMBIA                 ,MS,UNITED STATES                           ,514132,0,28,2011,1,23-0916895,FIRST NATIONAL BANK AND TRUST,40 SOUTH STATE ST,NEWTOWN,PA,18940,,,,,,FIRST NATIONAL BANK AND TRUST,NEWTOWN,PA,730382,0,1,194,N
2011,0000000324,3,          ,                              ,                         ,  ,13,360004,0,CITIZENS BK                                                           ,COLUMBIA                 ,MS                    ,1246681,CITIZENS CORP                 ,COLUMBIA                 ,MS,UNITED STATES                           ,514132,0,28,2011,3,64-0750822,CITIZENS BANK,814 MAIN STREET,COLUMBIA,MS,39429,,,,,,CITIZENS BK,COLUMBIA,MS,360004,0,13,655,N
2011,0000000325,1,          ,                              ,                         ,  ,1,388866,0,FNB BK NA                                                             ,DANVILLE                 ,PA                    ,1117129,FULTON FNCL CORP              ,LANCASTER                ,PA,UNITED STATES                           ,131418,0,42,2011,1,24-0558097,FNB BANK  N.A.,354 MILL STREET,DANVILLE,PA,17821,FULTON FINANCIAL CORPORATION,ONE PENN SQUARE,LANCASTER,PA,17604,FNB BK NA,DANVILLE,PA,388866,0,1,518,N
2011,0000000347,1,          ,                              ,                         ,  ,3,56794,0,FIRST NB LACON                                                        ,LACON                    ,IL                    ,1208988,FIRST LACON CORP              ,LACON                    ,IL,UNITED STATES                           ,824738,0,17,2011,1,36-1078900,THE 1ST NATIONAL BANK OF LACON,111 S BROAD ST PO BOX 308,LACON,IL,61540,,,,,,FIRST NB LACON,LACON,IL,56794,0,3,25,N
2011,0000000497,1,          ,                              ,                         ,  ,1,209090,0,FIRST NB                                                              ,SUFFIELD                 ,CT                    ,3431007,FIRST SUFFIELD FNCL           ,SUFFIELD                 ,CT,UNITED STATES                           ,115100,0,9,2011,1,06-0343370,THE FIRST NATIONAL BANK OF SUF,30 BRIDGE STREET  P.O. BOX 96,SUFFIELD,CT,06078,,,,,,FIRST NB,SUFFIELD,CT,209090,0,1,252,N
2011,0000000644,1,          ,                              ,                         ,  ,1,521374,0,HONESDALE NB                                                          ,HONESDALE                ,PA                    ,1144107,HONAT BC                      ,HONESDALE                ,PA,UNITED STATES                           ,465618,0,42,2011,1,24-0614415,THE HONESDALE NATIONAL BANK,P O BOX 350,HONESDALE,PA,18431-0350,,,,,,HONESDALE NB,HONESDALE,PA,521374,0,1,839,N
2011,0000000644,1,          ,                              ,                         ,  ,1,521374,0,HONESDALE NB                                                          ,HONESDALE                ,PA                    ,1144107,HONAT BC                      ,HONESDALE                ,PA,UNITED STATES                           ,465618,0,42,2011,5,93-0256725,NORTHWEST RESOURCE FCU,221 NW 2ND #100,PORTLAND,OR,97209,,,,,,NORTHWEST RESRC FCU,PORTLAND,OR,90748,0,5,27,N
2011,0000000644,5,          ,                              ,                         ,  ,5,90748,0,NORTHWEST RESRC FCU                                                   ,PORTLAND                 ,OR                    ,0,                              ,                         ,  ,                                        ,127475,0,41,2011,1,24-0614415,THE HONESDALE NATIONAL BANK,P O BOX 350,HONESDALE,PA,18431-0350,,,,,,HONESDALE NB,HONESDALE,PA,521374,0,1,839,N
2011,0000000644,5,          ,                              ,                         ,  ,5,90748,0,NORTHWEST RESRC FCU                                                   ,PORTLAND                 ,OR                    ,0,                              ,                         ,  ,                                        ,127475,0,41,2011,5,93-0256725,NORTHWEST RESOURCE FCU,221 NW 2ND #100,PORTLAND,OR,97209,,,,,,NORTHWEST RESRC FCU,PORTLAND,OR,90748,0,5,27,N
2011,0000000661,1,          ,                              ,                         ,  ,1,602659,0,DNB FIRST NA                                                          ,DOWNINGTOWN              ,PA                    ,1117455,DNB FNCL CORP                 ,DOWNINGTOWN              ,PA,UNITED STATES                           ,71318,0,42,2011,1,23-0534545,DNB FIRST  NA,4 BRANDYWINE AVE.,DOWNINGTOWN,PA,19335,,,,,,DNB FIRST NA,DOWNINGTOWN,PA,602659,0,1,136,N
2011,0000000676,1,          ,                              ,                         ,  ,1,248617,0,NATL GRAND BK OF MARBLEHEAD                                           ,MARBLEHEAD               ,MA                    ,1115406,GRAND BK CORP                 ,MARBLEHEAD               ,MA,UNITED STATES                           ,863607,0,25,2011,1,04-2832782,NATIONAL GRAND BANK,91 PLEASANT STREET,MARBLEHEAD,MA,01945,,,,,,NATL GRAND BK OF MARBLEHEAD,MARBLEHEAD,MA,248617,0,1,131,N
2011,0000000866,1,          ,                              ,                         ,  ,1,276105,0,MILFORD NB&TC                                                         ,MILFORD                  ,MA                    ,2651581,MNB BC                        ,MILFORD                  ,MA,UNITED STATES                           ,879000,0,25,2011,1,04-1620797,THE MILFORD NATIONAL BANK,300 EAST MAIN ST,MILFORD,MA,01757,MNB BANCORP,300 EAST MAIN ST,MILFORD,MA,01757,MILFORD NB&TC,MILFORD,MA,276105,0,1,96,N
2011,0000000929,1,          ,                              ,                         ,  ,1,248057,0,NATIONAL UNION BK                                                     ,KINDERHOOK               ,NY                    ,2589732,KINDERHOOK BK CORP            ,KINDERHOOK               ,NY,UNITED STATES                           ,313401,0,36,2011,1,14-0913619,NATIONAL UNION BANK OF KINDERH,ONE HUDSON STREET,KINDERHOOK,NY,12106,NATIONAL UNION BANK OF KINDERH,1 HUDSON ST,KINDERHOOK,NY,12106,NATIONAL UNION BK,KINDERHOOK,NY,248057,0,1,81,N
2011,0000000976,1,          ,                              ,                         ,  ,1,164609,0,PUTNAM COUNTY NB OF CARMEL                                            ,CARMEL                   ,NY                    ,0,                              ,                         ,  ,                                        ,287007,0,36,2011,1,14-0984850,PUTNAM COUNTY NATIONAL BANK,P.O. BOX 10,CARMEL,NY,10512-0010,,,,,,PUTNAM COUNTY NB OF CARMEL,CARMEL,NY,164609,0,1,14,N
2011,0000001027,1,          ,                              ,                         ,  ,1,513234,0,LYONS NB                                                              ,LYONS                    ,NY                    ,1246476,LYONS BC                      ,LYONS                    ,NY,UNITED STATES                           ,323204,0,36,2011,1,15-0372430,THE LYONS NATIONAL BANK,35 WILLIAM STREET,LYONS,NY,14489,,,,,,LYONS NB,LYONS,NY,513234,0,1,805,N
2011,0000001083,1,          ,                              ,                         ,  ,1,127731,0,FIRST NB OF GROTON                                                    ,GROTON                   ,NY                    ,0,                              ,                         ,  ,                                        ,917500,0,36,2011,1,15-0328960,FIRST NATIONAL BANK OF GROTON,161 MAIN STREET,GROTON,NY,13073,,,,,,FIRST NB OF GROTON,GROTON,NY,127731,0,1,190,N
2011,0000001090,1,          ,                              ,                         ,  ,1,1449065,0,ALLIANCE BK NA                                                        ,SYRACUSE                 ,NY                    ,1140510,ALLIANCE FC                   ,SYRACUSE                 ,NY,UNITED STATES                           ,814216,0,36,2011,1,15-0405885,ALLIANCE BANK NA,120 MADISON ST,SYRACUSE,NY,13202,,,,,,ALLIANCE BK NA,SYRACUSE,NY,1449065,0,1,833,N
2011,0000001154,1,          ,                              ,                         ,  ,3,285698,0,FIRST NB OF OTTAWA                                                    ,OTTAWA                   ,IL                    ,2791816,FIRST OTTAWA BSHRS            ,OTTAWA                   ,IL,UNITED STATES                           ,856243,0,17,2011,1,36-1588745,FIRST NATIONAL BANK OF OTTAWA,701 LASALLE STREET,OTTAWA,IL,61350,FIRST OTTAWA BANCSHARES,701 LASALLE STREET,OTTAWA,IL,61350,FIRST NB OF OTTAWA,OTTAWA,IL,285698,0,3,210,N
2011,0000001194,1,          ,                              ,                         ,  ,1,166351,0,ROCKPORT NB                                                           ,ROCKPORT                 ,MA                    ,2802909,ROCKPORT NAT BC               ,ROCKPORT                 ,MA,UNITED STATES                           ,555005,0,25,2011,1,04-1782774,ROCKPORT NATIONAL BANK,PO BOX 90    16 MAIN STREET,ROCKPORT,MA,01966,,,,,,ROCKPORT NB,ROCKPORT,MA,166351,0,1,92,N
2011,0000001195,1,          ,                              ,                         ,  ,1,273219,0,NATIONAL BK OF MIDDLEBURY                                             ,MIDDLEBURY               ,VT                    ,1136214,MIDDLEBURY NAT CORP           ,MIDDLEBURY               ,VT,UNITED STATES                           ,173306,0,50,2011,1,03-0143997,NATIONAL BANK OF MIDDLEBURY,30 MAIN STREET  P O BOX 189,MIDDLEBURY,VT,05753-0189,,,,,,NATIONAL BK OF MIDDLEBURY,MIDDLEBURY,VT,273219,0,1,458,N
2011,0000001253,1,          ,                              ,                         ,  ,1,385348,0,BALLSTON SPA NB                                                       ,BALLSTON SPA             ,NY                    ,1048728,BALLSTON SPA BC               ,BALLSTON SPA             ,NY,UNITED STATES                           ,505,0,36,2011,1,14-0486153,BALLSTON SPA NATIONAL BANK,87 FRONT ST.,BALLSTON SPA,NY,12020,BALLSTON SPA NATIONAL BANK,87 FRONT ST.,BALLSTON SPA,NY,12020,BALLSTON SPA NB,BALLSTON SPA,NY,385348,0,1,317,N
2011,0000001354,1,          ,                              ,                         ,  ,1,5302543,0,NBT BK NA                                                             ,FRIENDSVILLE             ,PA                    ,1139279,NBT BC                        ,NORWICH                  ,NY,UNITED STATES                           ,702117,0,42,2011,1,15-0395735,NBT BANK NA,52 SOUTH BROAD STREET,NORWICH,NY,13815,NBT BANCORP INC,52 SOUTH BROAD STREET,NORWICH,NY,13815,NBT BK NA,FRIENDSVILLE,PA,5302543,0,1,4046,N
2011,0000001368,1,          ,                              ,                         ,  ,1,545104,0,COMMUNITY NB                                                          ,DERBY                    ,VT                    ,1115040,COMMUNITY BC                  ,DERBY                    ,VT,UNITED STATES                           ,270504,0,50,2011,1,03-0288082,COMMUNITY NATIONAL BANK,4811 US ROUTE 5  PO BOX 259,DERBY,VT,05829,,,,,,COMMUNITY NB,DERBY,VT,545104,0,1,723,N
2011,0000001368,1,          ,                              ,                         ,  ,1,545104,0,COMMUNITY NB                                                          ,DERBY                    ,VT                    ,1115040,COMMUNITY BC                  ,DERBY                    ,VT,UNITED STATES                           ,270504,0,50,2011,5,95-1645266,PASADENA SERVICE FCU,670 N ROSEMEAD BLVD,PASADENA,CA,91107,,,,,,PASADENA SVC FCU,PASADENA,CA,96810,0,2,8,N
