idrssd,year,bank_name,assets_c,tier1_capital_c,total_loans_c
393355,2022,Bank of Weston,197567,14245,0
393953,2022,"HOMETOWN BANK, NA",912218,93173,0
394156,2022,"Snb Bank, National Association",135038,12420,0
394259,2022,The First State Bank,483786,47255,0
395238,2022,Synovus Bank,57224306,4998698,750642
396057,2022,Independence State Bank,83120,6698,0
396244,2022,"River City Bank, Inc.",375552,49429,877
396253,2022,First National Bank And Trust Company,721128,60949,0
396954,2022,The Pecos County State Bank,323141,28764,0
397456,2022,First National Bank of Fort Stockton,144071,14857,0
397531,2022,AMALGAMATED BANK OF CHICAGO,1641796,97057,0
397540,2022,FIRST NATIONAL BANK OF FORT SMITH,1898968,165188,5460
397559,2022,Dundee Bank,479987,45511,2973
397755,2022,Legacy Bank & Trust Company,749256,66710,0
397858,2022,Spiro State Bank,61876,6229,0
398051,2022,Farmers & Merchants Bank of Ashland,114475,9802,0
398248,2022,The Campbell & Fetter Bank,375496,34234,0
398668,2022,"The Bank of New York Mellon Trust Company, National Association",1416133,486150,0
398837,2022,Copiah Bank,297184,27578,0
399357,2022,McCLAVE STATE BANK,47334,6823,0
399517,2022,Cnb Bank,5307549,447055,849
399731,2022,Bank Of Erath,117394,13823,0
399973,2022,"First Federal Savings And Loan Association Of Central Illinois, S.B.",181363,17996,0
400057,2022,First State Bank of Purdy,215006,15556,0
400141,2022,"FNB Bank, Inc.",608908,49341,70
400365,2022,"First Commercial Bank, N.A.",530283,39283,4248
400767,2022,Nevada Bank And Trust Company,229209,16702,0
401072,2022,Century Savings And Loan Association,101851,14054,0
401559,2022,DNB National Bank,110786,9569,0
401755,2022,The Bank Of The West,164392,20572,0
401906,2022,Skowhegan Savings Bank,780419,102697,0
401951,2022,Portage Bank,40591,4374,0
402846,2022,Pocahontas State Bank,105002,25327,0
402873,2022,"VERSAILLES SAVINGS AND LOAN COMPANY, THE",62677,11510,0
403067,2022,Beacon Business Bank,161753,20049,0
403151,2022,Cornerstone Bank,2056362,188671,727
403179,2022,First Fed Bank,1917431,196319,760
403254,2022,"Transact Bank, National Association",16653,2720,0
403656,2022,State Bank Of Eagle Butte,80478,6969,0
403870,2022,Iroquois Federal Savings And Loan Association,772572,82536,0
403946,2022,The Park Bank,1346742,136676,1989
404653,2022,Dominion Bank,392099,45461,0
404943,2022,Tri-Valley Bank,75198,7282,0
406022,2022,Woodsboro Bank,379262,26670,0
406059,2022,The National Bank of Texas at Fort Worth,448503,37853,0
406666,2022,West Texas State Bank,189037,19906,0
406974,2022,Brighton Bank,322533,29826,4074
407168,2022,First State Bank,147778,14862,0
407506,2022,ION BANK,1738910,162668,0
407645,2022,"Stillman BancCorp, N.A.",632367,51353,552
