idrssd,year,bank_name,assets_c,tier1_capital_c,total_loans_c
37,2021,Bank of Hancock County,87398,16145,0
242,2021,"First Community  Bank, Xenia-Flora",51841,5215,0
279,2021,MINEOLA COMMUNITY BANK S. S. B.,299643,30645,0
354,2021,Bison State Bank,20368,1652,618
457,2021,LOWRY STATE BANK,58927,4918,0
505,2021,Ballston Spa National Bank,687274,57562,3352
1155,2021,First State Bank & Trust Company,281394,25245,323
1351,2021,Bank of Grandin,186703,27484,0
1454,2021,Hilltop National Bank,930784,102043,4236
1669,2021,Liberty National Bank,351611,48752,0
1856,2021,Washita State Bank,77372,11537,0
2161,2021,LAMAR NATIONAL BANK,279336,22795,0
2732,2021,"Albany Bank & Trust Co., N.A.",690727,102005,0
2750,2021,Genoa Community Bank,63872,7436,0
3252,2021,FIRST NATIONAL BANK OF GORDON,240659,29084,0
3458,2021,Farmers Bank Of Green City,67456,5431,0
3720,2021,"Bank Of Clarendon, The",315828,39960,50
3971,2021,Midcountry Bank,843294,102256,0
4156,2021,Kanza Bank,275440,23055,326
4231,2021,FARMERS AND MERCHANTS BANK,138784,18406,0
5069,2021,First Credit Bank,439042,193310,0
5135,2021,First State Bank of Blakely,527680,81679,0
5210,2021,ACNB Bank,2541188,226800,11034
5461,2021,BAC Community Bank,748353,72772,0
5751,2021,Kearny County Bank,239661,36820,722
6039,2021,Pineland Bank,345551,32448,0
6329,2021,Anderson Brothers Bank,1108539,98229,7492
7009,2021,Bessemer Trust Company,828195,91291,0
7045,2021,The Peoples Bank,245405,22942,0
7072,2021,Wallkill Valley Federal Savings And Loan Association,355697,35692,7124
7456,2021,Bank of Hartington,110959,9692,0
7634,2021,THE FOUR COUNTY BANK,78810,11154,0
8033,2021,Peoples Bank And Trust Company Of Pointe Coupee Parish,357165,47985,0
8462,2021,Perryton National Bank,163332,26156,0
8631,2021,The Pleasants County Bank,67660,7122,0
9357,2021,Fidelity Bank,859978,69221,0
9553,2021,ADAMS COUNTY BANK,203051,19113,0
9807,2021,Amboy Bank,2687604,362806,0
9955,2021,"First State Bank And Trust Company Of Larned, The",185855,23101,0
10250,2021,"Bank Of Elk River, The",583201,45420,0
10849,2021,FIRST STATE BANK,258134,25934,0
11145,2021,Lake-Osceola State Bank,343267,28023,641
11640,2021,FIRST NATIONAL BANK OF CLARKSDALE,392897,45662,0
11837,2021,The Farmers Bank,134437,15158,0
12030,2021,FNB South,469136,67372,0
12142,2021,The Cleveland State Bank,278419,27245,0
12311,2021,The Huntington National Bank,122837617,10601382,1274913
12647,2021,The Portage County Bank,183744,18276,130
12656,2021,EMERALD BANK,19227,2037,0
12946,2021,Farmers Bank & Trust Company,1793266,170367,10063
13103,2021,Bristol County Savings Bank,2788219,334659,5784
13251,2021,Elysian Bank,57565,6346,0
13457,2021,Bank Of Lewellen,25132,6407,0
14155,2021,F and C Bank,265441,27245,125
14650,2021,Bank Of Locust Grove,45909,5172,0
14753,2021,"Farmers State Bank Of Bucklin, Kansas, The",55291,4513,0
14865,2021,Bank Of Eastern Oregon,666291,51368,0
14977,2021,First Federal Bank Littlefield Texas ssb,53376,10045,0
16551,2021,Northview Bank,383782,42542,1210
16748,2021,The Elberfeld State Bank,86524,10036,0
17110,2021,The Haverford Trust Company,168840,27538,0
17147,2021,First Merchants Bank,14044203,1283922,3966
17259,2021,The First National Bank In Marlow,60710,5660,0
17950,2021,"Bank Of Bridger, National Association",699460,60127,3625
17978,2021,Elizabethton Federal Savings Bank,309592,123593,0
18050,2021,First National Bank of Bastrop,730154,69877,304
18827,2021,"NexTier Bank, N.A.",1649262,146586,0
18836,2021,Capon Valley Bank,182208,18220,0
18854,2021,Bank 7,1015692,105696,324
19356,2021,SECURITY BANK AND TRUST COMPANY,91568,8642,0
19936,2021,Citizens Bank of Americus,400145,33758,0
19972,2021,FARMERS BUILDING AND SAVINGS BANK,114358,21723,0
20053,2021,Security Bank,137375,16037,0
20633,2021,MCNB Bank And Trust Co.,321845,36774,0
20857,2021,Granite Falls Bank,169976,14795,300
21256,2021,State Bank Of Burrton,11078,1226,0
21359,2021,AMERICAN STATE BANK OF GRYGLA,66451,6225,0
21658,2021,ALLIANCE BANK,203621,19533,0
22048,2021,Union Bank & Trust Company,250411,24570,0
22543,2021,State Savings Bank,305258,26068,2257
22552,2021,FIRST SOUTHEAST BANK,115194,9380,0
22730,2021,West Union Bank,217519,18818,0
23456,2021,The First National Bank Of Henning,260181,27836,1349
23504,2021,BNB Bank,6433919,503524,52785
23643,2021,COMMERCIAL BANK & TRUST COMPANY,240291,21796,0
23755,2021,First National Community Bank,270454,21945,5000
24006,2021,PCSB Bank,1788574,226335,0
24378,2021,Galion Building and Loan Bank,68792,7364,0
24453,2021,ROCKY MOUNTAIN BANK,407552,38367,11773
24659,2021,Produce State Bank,109287,7772,0
24668,2021,"BTH Bank, National Association",1973112,241996,1726
24949,2021,BARABOO STATE BANK,489383,46556,3547
25357,2021,All America Bank,452555,42937,0
25647,2021,First Secure Bank and Trust Co,377472,20537,0
26176,2021,"Broadway Federal Bank, F.S.B",481551,46565,0
26457,2021,La Monte Community Bank,40812,3518,0
26765,2021,Vantage Bank Texas,2508606,273670,1490
27070,2021,Prevail Bank,860665,110923,0
27548,2021,Blackhawk Bank,1131767,100085,6096
27614,2021,The Andover Bank,526749,40067,0
27847,2021,DIAMOND BANK,704546,69230,0
28013,2021,Northfield Bank,5515631,656324,0
28152,2021,Harvest Bank,186197,14861,1846
28675,2021,"Cumberland Federal Bank, Federal Savings Bank",187329,20087,0
28732,2021,Peoples Bank & Trust Co,121837,13717,1144
29476,2021,RiverBank,95965,11975,0
29636,2021,The Citizens Bank Of Philadelphia,1450419,99171,0
29878,2021,Maspeth Federal Savings And Loan Association,2051715,662358,0
30052,2021,Amistad Bank,38396,4651,272
30502,2021,NORTHWAY BANK,1116213,102688,237
30650,2021,Lake Community Bank,140816,16073,0
30810,2021,Discover Bank,111335503,12414710,0
31134,2021,"First National Bank Of Waynesboro, The",182003,26745,0
31255,2021,Central Bank,823221,80811,638
31657,2021,"First State Bank of Ben Wheeler, Texas",172914,22181,0
31826,2021,Powell Valley National Bank,383959,40152,0
31835,2021,BANK OF ANGUILLA,158573,15983,0
32234,2021,First National Bank and Trust Company,203332,19309,0
32766,2021,LAKESIDE BANK,176670,27055,0
32971,2021,Security Federal Savings Bank,322203,34747,2249
33147,2021,Farmers Bank And Trust Company,325015,29144,0
33259,2021,Premier Bank,926970,90248,0
33268,2021,The Roscoe State Bank,200969,18610,0
33370,2021,"Home Savings Bank, Fsb",25990,3375,0
33839,2021,Peoples State Bank of Colfax,38052,4294,0
33857,2021,Frontier Bank,989887,92117,12087
34425,2021,Virginia Commonwealth Bank,1219037,129845,4004
34434,2021,MAGNOLIA STATE BANK,380381,33833,0
34537,2021,Seacoast National Bank,8343334,897731,68890
34555,2021,MA Bank,327071,30216,0
34742,2021,First Western Bank,499831,43192,3168
35057,2021,Alliant Bank,175233,17830,1311
35301,2021,STATE STREET BANK AND TRUST COMPANY,311181000,17306000,0
35570,2021,Investors Bank,25991260,2391126,30357
35646,2021,Bonduel State Bank,78352,13958,0
35879,2021,East Wisconsin Savings Bank,269932,22690,417
36456,2021,Community First Bank,127482,12577,0
36933,2021,First State Bank,208378,16340,0
37051,2021,Oakwood Bank,101019,8220,0
37341,2021,Bank Of Ontario,60451,6753,0
37435,2021,United Bank,1931825,161366,7232
37640,2021,GERMAN AMERICAN BANK,4972069,460936,16904
37659,2021,FARMERS STATE BANK,45443,5566,0
37949,2021,Bank of Rantoul,260976,25469,1087
38740,2021,Owen County State Bank,279150,28775,875
39327,2021,"Calvin B. Taylor Banking Company of Berlin, Maryland",709621,91563,0
39756,2021,NBC Oklahoma,764077,63199,531
40033,2021,richton bank & Trust,57454,7812,0
40499,2021,Harborone Bank,4486533,506822,208612
40855,2021,ESB Bank,133374,12650,0
41553,2021,First State Bank,109774,13949,0
41629,2021,Pioneer Bank,261157,28563,0
41825,2021,Middletown Valley Bank,675261,61673,331
41955,2021,Bank of Newman Grove,36020,3713,0
42037,2021,PEOPLES EXCHANGE BANK,83377,10781,0
42354,2021,THE COMMERCIAL NATIONAL BANK OF BRADY,160475,19331,0
42372,2021,First Federal Savings Bank Of Lincolnton,426587,67287,0
42420,2021,FIRST COMMONWEALTH BANK,9055507,791569,33436
42448,2021,FIRST NATIONAL BANK,1874026,197291,0
42457,2021,Commercial Bank,55315,6876,0
43052,2021,Security State Bank,122274,21370,0
43351,2021,Peoples State Bank,259469,23691,0
43856,2021,THE MINERS NATIONAL BANK OF EVELETH,79120,6378,0
43959,2021,Bridge City State Bank,244547,23120,0
44040,2021,"First National Bank Of Monterey, The",368751,44778,0
44433,2021,"Intercredit Bank, National Association",376370,41718,0
44741,2021,Citizens Bank,588830,56836,8019
44750,2021,Citizens Bank of the Midwest,154642,15666,0
44929,2021,First National Bank,193808,11013,0
45038,2021,STATE BANK OF DAVIS,169778,18632,0
45047,2021,The First National Bank At Paris,217294,22416,0
45056,2021,Platte Valley Bank,94134,12370,0
45430,2021,Johnson County Bank,136788,19775,0
45458,2021,Vintage Bank Kansas,175844,16454,0
45551,2021,Bank Midwest,1095927,94451,8485
45560,2021,Jefferson Bank,2298044,195394,18299
45775,2021,Iron Workers Savings Bank,190707,18063,0
46053,2021,The State Bank Of Faribault,267715,23608,2307
46941,2021,Farmers Bank And Trust Company,170845,18801,0
47247,2021,The Dart Bank,622173,55986,97068
47256,2021,Community Financial Bank,51316,5279,0
47452,2021,FIRST NATIONAL BANK OF BENTON,70520,11836,0
47500,2021,Claremont Savings Bank,479916,64563,0
48057,2021,Prairie Bank of Kansas,126416,10322,0
48150,2021,Franklin State Bank,35951,5208,0
48374,2021,First Financial Bank,1566559,152498,8138
48440,2021,Cleveland State Bank,163806,15947,0
49054,2021,Commerce Bank,224935,26985,0
49148,2021,RUSHVILLE STATE BANK,117333,15475,0
49241,2021,"Relyance Bank, National Association",1007257,113780,0
49652,2021,First Bank,139555,17778,0
49858,2021,Bank Of South Texas,137087,15122,0
49951,2021,The First Security Bank,123120,10592,0
50144,2021,state bank of medora,95275,13776,0
50461,2021,California Pacific Bank,82484,34461,0
51253,2021,APEX BANK,904999,98565,240
51356,2021,Latimer State Bank,70991,14270,0
51459,2021,Centera Bank,320186,25252,0
51842,2021,FARMERS & MERCHANTS UNION BANK,429933,50000,57
52719,2021,The Depository Trust Company,3560309,775494,0
52951,2021,Security State Bank Of Oklahoma,284304,34113,0
53051,2021,The Buckholts State Bank,92603,14534,0
54058,2021,The Bank Of Tescott,431796,58690,1
54656,2021,Citizens State Bank,1212864,123694,0
54973,2021,"American Savings Bank, FSB",8396533,677786,28275
55336,2021,METAIRIE BANK & TRUST,485965,43023,850
55635,2021,Citizens Savings Bank & Trust,111579,6827,0
55653,2021,Fidelity State Bank And Trust Company,150380,12834,0
55970,2021,Evergreen Federal Bank,579413,63662,1843
56258,2021,"Citizens Bank & Trust Co., Hutchinson, Minn.",291879,20515,0
56351,2021,"VeraBank, N.A.",2976083,267083,5507
56548,2021,DMB Community Bank,540567,66584,661
56717,2021,The Dime Bank,881484,88575,0
57040,2021,First National Bank at Darlington,170724,24172,0
57451,2021,Dairy State Bank,628992,67763,0
58225,2021,FARMERS BANK & SAVINGS CO.,371405,35963,0
58243,2021,Johnson Bank,5967069,725880,132918
58355,2021,Vantage Bank,42044,3578,0
58551,2021,Security State Bank,235993,23391,0
58636,2021,CENTURY BANK,423388,38277,3160
58757,2021,Kensington Bank,310288,25099,778
58971,2021,Washington Trust Bank,9803057,736755,28572
59316,2021,Wayne Bank,1853047,159202,0
59352,2021,Citizens National Bank,509285,50982,0
59370,2021,First Shore Federal Savings And Loan Association,327969,50283,0
59754,2021,The Bank Of Wyandotte,13397,1223,0
60143,2021,Comerica Bank,88120000,7278000,5000
60330,2021,PEOPLES BANK OF ALABAMA,1075067,84724,2866
60545,2021,The Home Trust & Savings Bank,256209,26262,0
60554,2021,First State Bank Minnesota,83037,8204,0
60648,2021,First National Bank,383912,31406,1841
61122,2021,First United Bank & Trust,1718792,167275,3546
61355,2021,"CorTrust Bank, N.A.",1421973,120488,7115
61476,2021,Abington Bank,573495,67347,0
61757,2021,American Heritage National Bank,475655,44231,989
61832,2021,The First National Bank of Mount Dora,320518,38598,0
61953,2021,FNB Coweta,91236,8211,0
62044,2021,Sebree Deposit Bank,21640,2351,0
62110,2021,"Rockefeller Trust Company, N.A.",17049,14380,0
62147,2021,Community First Bank,109972,9604,176
63050,2021,The Dolores State Bank,310665,39942,0
63069,2021,City National Bank,76261355,5741505,0
63201,2021,CAYUGA LAKE NATIONAL BANK,196742,20064,0
63573,2021,Walpole Co-operative Bank,555316,99969,0
63733,2021,Citizens Bank,1014959,91210,0
63742,2021,HOMETOWN BANK,604268,66218,2032
63751,2021,Towanda State Bank,10270,503,0
64150,2021,Wyoming Bank & Trust,254315,25118,3258
64552,2021,Chickasaw Community Bank,293241,30666,34937
64730,2021,Farmers & Merchants Bank,231012,26858,0
65205,2021,Torrington Savings Bank,894404,171731,0
65513,2021,Delta National Bank and Trust Company,379814,53481,0
65559,2021,Pioneer Bank & Trust,855819,82156,3082
65746,2021,"Citizens Union Bank of Shelbyville, Inc.",1020491,107833,7779
65858,2021,Emprise Bank,2122627,153847,0
66154,2021,DECATUR COUNTY BANK,188128,16629,0
66275,2021,FIRST SOUTHERN BANK,345272,28794,405
66677,2021,Cincinnati Federal,237153,34792,13345
67142,2021,Peoples Trust & Savings Bank,208771,31545,0
67151,2021,Kirkpatrick Bank,923011,98450,3912
67209,2021,Newburyport Five Cents Savings Bank,1205217,138591,624
67254,2021,Young Americans Bank,21690,1464,0
67656,2021,First Savings Bank,1108607,121173,0
67870,2021,Tc Federal Bank,349927,40090,2945
68671,2021,"Grand Bank For Savings, F.S.B.",94887,10917,625
68756,2021,Liberty National Bank,737968,68993,260
68831,2021,Bank Of Franklin,177187,18159,0
69333,2021,The Citizens National Bank of Meridian,1595716,167590,934
69678,2021,Baker Boyer National Bank,724924,58214,0
70218,2021,United Orient Bank,85132,13563,0
70414,2021,THE NORTHUMBERLAND NATIONAL BANK,611517,59016,2622
70638,2021,Peoples Bank,393586,37352,5526
70955,2021,Nebraska State Bank,19980,2609,0
71073,2021,Home Federal Savings And Loan Association Of Niles Ohio,109424,12198,0
71457,2021,Bruning Bank,422798,48439,0
71859,2021,CBW BANK,85972,14822,3594
72258,2021,The Converse County Bank,782513,63989,2796
72351,2021,Farmers State Bank,70887,10401,0
72454,2021,FREEPORT STATE BANK,135059,12910,0
72678,2021,BELMONT SAVINGS BANK,413302,72173,0
73116,2021,Artisans' Bank,621905,52422,4805
73152,2021,THE FARMERS AND MERCHANTS NATIONAL BANK OF FAIRVIEW,130304,13043,0
73554,2021,Pathway Bank,188379,19352,0
73956,2021,Security State Bank,54435,7311,0
74056,2021,South Central State Bank,146368,18044,0
74140,2021,Isabella Bank,1908060,153102,2741
74403,2021,Merrimack County Savings Bank,1038330,97114,0
74449,2021,First National Bank in Tigerton,24527,3343,0
75259,2021,First Oklahoma Bank,889477,74780,6390
75446,2021,South Ottumwa Savings Bank,559414,53117,0
75455,2021,The Northern State Bank Of Gonvick,40955,6617,0
75558,2021,FIRST NATIONAL BANK BAIRD,474580,45291,0
75633,2021,"BMO Harris Bank, N.A.",153847049,14258427,202854
75651,2021,CERESCOBANK,58583,8473,0
76153,2021,BANK OF CLARKS,40255,4308,0
76443,2021,The Peoples Bank,126325,14220,0
76854,2021,GRAND BANK,437705,45896,0
77150,2021,First Farmers & Merchants State Bank Grand Meadow,78328,6769,0
77253,2021,The Hondo National Bank,322123,27086,0
77422,2021,Community Bankers' Bank,169047,18564,0
77851,2021,First Bank & Trust,3647138,337853,48796
78157,2021,Bandera Bank,75081,7822,0
78241,2021,First Naturalstate Bank,73922,7247,0
78559,2021,Summit National Bank,90165,8650,0
79042,2021,West Point Bank,330373,28518,0
79127,2021,Home National Bank,74309,9132,0
79145,2021,Farmers & Merchants State Bank,197577,21292,216
79257,2021,Grove Bank,36047,3373,0
79855,2021,City Bank   Trust Company,231264,23682,1668
80150,2021,First Fidelity Bank,445272,39903,0
80374,2021,First Federal Savings And Loan Association Of Delta,199910,21204,0
80431,2021,UNION BANK & TRUST COMPANY,96532,10269,0
81175,2021,Equitable Bank,412680,35743,1445
82033,2021,FIRST NATIONAL BANK OF PASC,221191,24229,0
82257,2021,BRYANT STATE BANK,41462,4532,0
82350,2021,THE LAUDERDALE COUNTY BANK,59301,5805,0
82659,2021,CITIZENS STATE BANK OF HAYFIELD,119290,7746,0
83151,2021,Flagship Bank Minnesota,291639,25765,0
83236,2021,Bank of the South,81230,14938,0
83375,2021,CENTURY BANK,1089837,104221,0
83638,2021,"Amerant Bank, National Association",7761170,794257,0
83834,2021,AMERICAN BANK & TRUST COMPANY,232862,23730,0
83852,2021,Richland State Bank,41764,4271,381
83955,2021,GREENFIELD BANKING COMPANY,77494,6195,0
84046,2021,First Trust & Savings Bank,55732,6081,0
84541,2021,Guaranty Bank and Trust Company,1225079,106956,2275
84804,2021,Citizens Bank of Cape Vincent,78289,6679,0
85052,2021,Uinta Bank,252005,20248,0
85472,2021,Oceanfirst Bank,11340082,942122,45524
85931,2021,PATTERSON STATE BANK,311864,24286,0
86349,2021,The Union Bank Of Mena,316588,30170,0
86675,2021,Rosedale Federal Savings And Loan Association,1021460,249516,0
87047,2021,First State Bank of Porter,160945,23759,0
87159,2021,First State Bank Of Newcastle,172520,20977,0
87234,2021,FIRST NATIONAL BANK OF MIDDLE TENNESSEE,580326,70292,46389
87476,2021,"Wilmington Savings Bank, The",173853,31257,0
87579,2021,"Middlesex Federal Savings, F.A.",455867,44313,0
88231,2021,Banksouth,983471,91677,178095
88259,2021,JANESVILLE STATE BANK,83087,10233,0
88352,2021,First State Bank Of Bedias,182821,28652,0
88455,2021,Heartland Bank,685769,63973,0
88950,2021,Financial Security Bank,126424,10677,0
89032,2021,Plaquemine Bank & Trust Company,184179,19398,0
89135,2021,First National Bank of Wauchula,79597,8626,0
89854,2021,Minnstar Bank National Association,153760,13630,0
89957,2021,Cendera Bank,120289,13381,0
90047,2021,Palo Savings Bank,45842,4834,0
90177,2021,First Federal Savings And Loan Association,332972,29798,0
90328,2021,SKYLINE NATIONAL BANK,855085,79240,0
90337,2021,UNITED COMMUNITY BANK,592807,84759,0
90579,2021,First Federal Savings And Loan Association Of Mcminnville,548435,69128,0
91615,2021,The Antwerp Exchange Bank Company,136426,12539,0
91754,2021,First National Bank of Bellville,814789,82231,0
91950,2021,Farmers State Bank Of Canton,53418,5976,0
92144,2021,Community State Bank,47556,9013,0
92676,2021,Windsor Federal Savings And Loan Association,655774,66815,0
92706,2021,Sugar River Bank,330152,46744,0
92902,2021,Bank Of Cattaraugus,23717,2167,0
93244,2021,Woodford State Bank,301037,24765,0
93543,2021,Springs Valley Bank & Trust,495849,52008,894
93619,2021,"STATE STREET BANK AND TRUST COMPANY, N.A.",41976,41390,0
94139,2021,Merchants & Marine Bank,646760,76799,0
94522,2021,Benchmark Community Bank,870811,78849,1130
94755,2021,Sundance State Bank,227266,22194,0
94858,2021,Adrian Bank,159793,17447,0
95051,2021,ONE AMERICAN BANK,511180,58137,363133
95677,2021,"Rockland Savings Bank, Fsb",88042,8519,164
96553,2021,HERSHEY STATE BANK,82611,10774,0
97055,2021,HENDERSON STATE BANK,273030,33003,0
97279,2021,Woodsfield Savings Bank,76066,6889,0
97457,2021,CITIZENS BANK,178001,13371,0
97804,2021,MountainOne Bank,864253,113822,1193
97943,2021,Marion County State Bank,587566,47896,2087
98351,2021,The Citizens State Bank of Ouray,149500,12654,0
98463,2021,Citizens Bank,983607,91193,996
98717,2021,"Eastbank, National Association",162349,33676,0
99143,2021,Merchants and Planters Bank,328707,31195,0
99376,2021,"National Cooperative Bank, N.A.",3026132,328772,109200
99442,2021,BANK OF COMMERCE,666904,59657,0
99536,2021,One Bank of Tennessee,1268649,94051,1823
99853,2021,First State Bank,47988,5222,0
100236,2021,Sunmark Community Bank,371711,34035,0
100357,2021,"Legend Bank, N. A.",872008,81042,0
100562,2021,Tri Counties Bank,7629234,714811,6268
100777,2021,cfsbank,505529,76016,0
100843,2021,FNBC Bank,577809,55299,0
101019,2021,Bank Leumi USA,7224089,833182,0
101037,2021,First American Bank And Trust,1111169,144574,0
101439,2021,"Durden Banking Company, Inc.",206824,31009,0
101671,2021,Adirondack Bank,955437,70138,518
101738,2021,Great Southern Bank,339578,28586,0
101952,2021,Brady National Bank,158678,12595,0
102333,2021,Wilkinson County Bank,55204,8363,0
102342,2021,RACCOON VALLEY BANK,343525,28566,0
102539,2021,Community Banks Of Shelby County,55560,5703,0
102557,2021,Foundation One Bank,147404,13997,5135
102874,2021,Paper City Savings Association,211543,25897,0
103134,2021,THE BANK OF COMMERCE,73385,7590,0
104234,2021,The Harrison County Bank,135388,13474,0
104542,2021,Marseilles Bank,67616,6528,0
104971,2021,Martinsville First Savings Bank,38898,6566,0
105026,2021,The Farmers Bank Of Willards,445551,45311,0
105473,2021,HOME FEDERAL BANK OF TENNESSEE,2541489,431636,4516
105530,2021,Farmers State Bank,168662,24068,0
106359,2021,First Fidelity Bank,2174836,174882,0
106452,2021,The Pueblo Bank And Trust Company,542289,55154,0
106676,2021,Bar Harbor Savings and Loan Association,103476,12199,0
107244,2021,Bank OZK,27162596,3573471,8995
107459,2021,The Corder Bank,22035,2233,0
107570,2021,First Federal Savings Bank,391221,43222,137
107758,2021,Bonanza Valley State Bank,73899,6093,0
108072,2021,Buffalo Federal Bank,145754,14476,2609
108269,2021,THE FIRST NATIONAL BANK OF MOODY,52076,10319,0
108652,2021,"First National Bank Of Buhl, The",30879,2201,0
108746,2021,MASON CITY NATIONAL BANK,75122,12533,0
108951,2021,Reliabank Dakota,566227,47502,11957
109136,2021,Peoples Bank & Trust,389638,39382,0
109154,2021,FIRST SECURITY BANK,82117,6736,250
109453,2021,BankStar Financial,213971,17749,0
109574,2021,Haverhill Bank,504646,49013,0
109659,2021,First National Bank,270090,25569,0
110413,2021,Sutton Bank,1184813,91408,136
110936,2021,Banco do Brasil Americas,732325,67529,0
110945,2021,United Southern Bank,254367,28340,0
110972,2021,First Federal Savings Bank Of Washington,77021,9210,0
111157,2021,Bank of Lindsay,78040,8578,0
111205,2021,Partners Bank,696040,77403,1249
111942,2021,Fortifi Bank,525258,47902,0
111979,2021,Security State Bank,603303,65935,526
112163,2021,Guaranty Bank & Trust,2741053,260459,5542
112332,2021,First National Bank Of Hartford,125768,18418,0
112444,2021,Jackson County Bank,200252,19577,0
112510,2021,The Baltic State Bank,94790,6218,0
112556,2021,State Bank Of Chandler,52320,6184,0
112837,2021,Capital One-National Association,363521558,26671288,2709620
113003,2021,Stafford Savings Bank,339934,141046,0
113030,2021,Farmers State Bank,140468,19697,0
113441,2021,FARMERS STATE BANK,991484,83763,488
113601,2021,Bank of New England,1073051,164233,0
113740,2021,First State Bank,926882,86016,11035
113937,2021,Merchants Bank Of Alabama,371149,33727,0
114149,2021,PARTNERS BANK OF WISCONSIN,238983,30365,0
114251,2021,F&M Bank Minnesota,147712,10918,0
114260,2021,First National Bank Alaska,4695315,538520,15818
114457,2021,"FIRST NATIONAL BANK AND TRUST, ELK CITY",301489,35282,0
114774,2021,"Abbeville Building & Loan, A State Chartered Savings Bank",57937,17116,7195
114840,2021,First State Bank,383156,35864,1542
114859,2021,First Bank And Trust Company,79992,7655,0
115146,2021,ST ANSGAR STATE BANK,148245,14512,0
115575,2021,Coastal Heritage Bank,929336,88207,0
116358,2021,State Bank of Cold Spring,75571,6548,0
116554,2021,First State Bank,20203,2502,7861
116741,2021,United Bank and Trust Company,195120,26302,0
117038,2021,HNB FIRST BANK,191763,17111,2074
117074,2021,Colonial Federal Savings Bank,336043,47724,0
117458,2021,BankFirst,830237,84650,96
117775,2021,The Southern Bank Company,112345,10773,0
118156,2021,SECURITY BANK & TRUST CO,741406,67654,0
118660,2021,HOME BANK OF CALIFORNIA,201935,24977,0
118736,2021,Bank of Yazoo City,268989,30476,0
119153,2021,THE SECURITY NATIONAL BANK OF ENID,363754,31002,0
119528,2021,The Farmers National Bank Of Emlenton,1027003,76246,75
119779,2021,Cape Cod Co-Operative Bank,1176201,104050,6778
119872,2021,First Seacoast Bank,443496,47222,0
120476,2021,Argentine Federal Savings,55742,7691,0
120542,2021,State Bank Of Chilton,373999,35761,0
120609,2021,Thomaston Savings Bank,1369376,135506,4814
120953,2021,FARMERS STATE BANK,245523,20831,0
121642,2021,BankPlus,4699272,387231,28684
121651,2021,Jonesboro State Bank,438488,43446,0
121914,2021,Community State Bank Of Orbisonia,393190,38664,0
122153,2021,JACKSON PARISH BANK,87912,10886,0
122546,2021,"First National Bank Of Sandoval, The",66242,7333,0
122854,2021,Independent Bank,17747717,1776420,82647
123075,2021,Milton Savings Bank,70660,16185,0
123374,2021,Beauregard Federal Savings Bank,73588,11583,0
124344,2021,Bank of Sun Prairie,491417,57026,421
124830,2021,Bank of Camilla,121324,17472,0
125154,2021,"FSNB, National Association",494549,61649,0
125471,2021,Sterling National Bank,29739853,3198145,11749
125855,2021,Sabine State Bank And Trust Company,1161643,110159,3987
125873,2021,Clay County Savings Bank,133308,11801,145
125958,2021,Lorraine State Bank,26236,3978,0
126012,2021,Champlain National Bank,390451,36413,0
126049,2021,"Connect Bank,Inc.",101382,15189,0
126375,2021,VIDALIA FEDERAL SAVINGS BANK,205940,31807,0
126553,2021,North Shore Bank Of Commerce,362523,37357,25984
126834,2021,Citizens Bank,695184,118577,176
127055,2021,WESTERN NATIONAL BANK,112351,11303,0
127224,2021,First United National Bank,309263,25639,0
128258,2021,WESTERN DAKOTA BANK,48482,3595,0
128904,2021,Eastern Bank,15952528,2259904,1140
129349,2021,FIRST NATIONAL BANK OF STEELEVILLE,239312,30853,0
129358,2021,VALOR BANK,138961,10839,9150
129479,2021,Wheatland Bank,615480,54250,17942
129732,2021,Byline Bank,6383680,616218,7924
129853,2021,Commercial State Bank Of Wagner,198358,21051,0
129910,2021,PEOPLES EXCHANGE BANK,460749,42026,5001
130345,2021,Community State Bank,537722,41595,0
130541,2021,Horizon Bank,5874671,492221,13538
130813,2021,Liberty National Bank,398452,49154,781
131034,2021,Citizens Bank of Florida,452253,38934,0
131173,2021,Guaranty Bank,1142831,111098,11359
131436,2021,FIRST BANK,498965,41808,0
131650,2021,Great Western Bank,12809603,1227380,11638
131717,2021,"Farmers State Bank, Inc.",59201,6514,0
131940,2021,Waldo State Bank,107635,11357,0
132107,2021,Androscoggin Savings Bank,1365796,123778,5919
132451,2021,The First National Bank Of Louisburg,146443,16901,0
132554,2021,mBank,1499686,134069,1639
132778,2021,Homestead Savings Bank,77986,5060,0
132938,2021,Planters & Citizens Bank,127213,12139,0
133579,2021,The Bank Of Bennington,494946,51046,0
133850,2021,First Citizens National Bank,2034249,187605,19787
133971,2021,LISLE SAVINGS BANK,594174,129407,0
134156,2021,FIRST CENTRAL BANK,113644,11783,0
134437,2021,Troy Bank and Trust Company,1146956,108182,501
134455,2021,Tensas State Bank,168935,21150,0
134848,2021,Teutopolis State Bank,283878,35301,568
135836,2021,South Lafourche Bank & Trust Company,146251,15480,0
135854,2021,Heartland State Bank,97492,10457,0
136048,2021,Peoples Savings Bank,107636,9728,0
136338,2021,Merchants & Farmers Bank & Trust Company,436338,48893,0
136459,2021,Gates Banking And Trust Company,55360,5225,0
136655,2021,LYNDON STATE BANK,83028,8000,0
137205,2021,Machias Savings Bank,1843300,214849,3038
137447,2021,The FNB Community Bank,416241,48143,63
137456,2021,The Bank of Beaver City,138605,15084,0
137559,2021,Farmers National Bank,153464,23855,0
137643,2021,West Iowa Bank,145717,19342,0
